rank,admissible_time_s,elapsed_time_s,moving_time_s,stationary_time_s,distance_m,horizontal_length_m,net_dz_m,descent_m,ascent_m,start_elevation_m,end_elevation_m,start_lon,start_lat,end_lon,end_lat,max_speed_km_h,mean_speed_km_h,roads,edges_used,stop_reason,termination,turn_limited,bend_count,tightest_radius_m,critical_radius_m,required_lateral_m_s2,lateral_limit_m_s2,turn_margin_m_s2,surface_mix,surface_assumed_share,start_osm_way,end_osm_way,start_osm_url,edge_ids,scenario
11,306.08,306.08,305.02,1.06,768.8,802.4,-5.1,6.4,1.3,725.1,720.1,6.036454,45.125265,6.027793,45.123464,15.0,9.04,path,2,speed_threshold,qualified_stop,False,51,30.9,93.2,0.15,3.43,3.28,asphalt_good=100%,0.0,232403001,439702677,https://www.openstreetmap.org/way/232403001,osm-232403001-0-forward;osm-439702677-0-reverse,reference_vtc
12,301.6,301.6,301.6,0.0,1387.1,1853.0,-48.8,49.2,0.4,761.2,712.5,6.032904,45.121284,6.015161,45.117064,46.35,16.56,D 44,4,speed_threshold,qualified_stop,False,108,44.9,49.5,3.32,3.43,0.11,asphalt_good=100%,0.0,222916416,1304085304,https://www.openstreetmap.org/way/222916416,osm-222916416-2-forward;osm-222916416-3-forward;osm-1304085304-0-forward;osm-1304085304-1-forward,reference_vtc
13,295.89,295.89,295.89,0.0,873.9,877.8,-24.6,25.1,0.5,741.7,717.1,6.025701,45.056555,6.031175,45.05635,42.56,10.63,residential > Rue Assieh Gueraud > Rue Saint-Antoine > Rue Général Bataille > Rue Gambetta > D 1091B > Quai Professeur Berlioux,19,speed_threshold,qualified_stop,False,35,43.2,212.9,0.62,3.43,2.81,asphalt_degraded=2%;asphalt_good=98%,0.024,560139076,132670325,https://www.openstreetmap.org/way/560139076,osm-560139076-1-reverse;osm-560139076-0-reverse;osm-435277112-3-reverse;osm-435277112-2-reverse;osm-435277112-1-reverse;osm-435277112-0-reverse;osm-560139075-0-reverse;osm-545361433-0-reverse;osm-132675320-1-reverse;osm-132675316-0-forward;osm-132675306-3-forward;osm-132675306-4-forward;osm-132675306-5-forward;osm-132675303-0-forward;osm-724628380-0-forward;osm-724628380-1-forward;osm-724628380-2-forward;osm-724628378-0-forward;osm-132670325-1-reverse,reference_vtc
14,288.63,288.63,287.54,1.09,830.4,874.4,-10.4,11.9,1.4,730.4,720.0,6.016541,45.073975,6.02044,45.080995,22.41,10.36,unclassified,1,speed_threshold,qualified_stop,False,63,34.5,61.7,0.54,3.43,2.9,asphalt_degraded=100%,1.0,181437616,181437616,https://www.openstreetmap.org/way/181437616,osm-181437616-0-forward,reference_vtc
15,287.53,287.53,287.53,0.0,677.2,728.8,-6.7,6.7,0.0,732.3,725.7,6.068401,45.032018,6.062305,45.036422,15.0,8.48,D 1091 > Rue des Vergers > Chemin du Verney,5,speed_threshold,qualified_stop,False,53,22.3,47.3,0.19,3.43,3.24,asphalt_degraded=44%;asphalt_good=56%,0.444,152271731,532548231,https://www.openstreetmap.org/way/152271731,osm-152271731-1-reverse;osm-152271731-0-reverse;osm-1019378711-2-reverse;osm-225398356-1-reverse;osm-532548231-0-reverse,reference_vtc
16,286.8,660.99,660.99,0.0,6529.1,6498.6,-434.3,467.1,32.8,1823.3,1389.0,6.071496,45.092496,6.053381,45.077072,58.57,35.56,Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Rue du Maquis de l'Oisans > D 211F > Rond-Point de l'Europe > D 211F > Rond-Point de l'Europe ...,64,route_end,no_admissible_continuation,True,770,9.4,10.9,21.4,3.43,-17.97,asphalt_degraded=2%;asphalt_good=98%,0.016,28476170,1082369794,https://www.openstreetmap.org/way/28476170,osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229844-0-forward;osm-91229842-0-reverse;osm-28452050-2-forward;osm-28452050-3-forward;osm-264100534-0-forward;osm-264100587-0-forward;osm-264100590-0-forward;osm-28417066-0-forward;osm-28417065-0-forward;osm-264100559-0-forward;osm-724628368-0-forward;osm-49793787-0-forward;osm-28452293-1-reverse;osm-1016849386-1-reverse;osm-1016849384-0-reverse;osm-1016849383-1-forward;osm-122019424-0-reverse;osm-28452292-5-reverse;osm-28452292-4-reverse;osm-28452292-3-reverse;osm-28452292-2-reverse;osm-28452292-1-reverse;osm-28452292-0-reverse;osm-1267647424-0-forward;osm-264100557-0-forward;osm-264100558-0-forward;osm-264130575-0-forward;osm-264130575-1-forward;osm-264130575-2-forward;osm-1315255667-0-forward;osm-1315255667-1-forward;osm-1315255667-2-forward;osm-1462422576-0-forward;osm-1462422576-1-forward;osm-28437433-0-forward;osm-28437433-1-forward;osm-28437433-2-forward;osm-28437433-3-forward;osm-222918432-0-forward;osm-222918432-1-forward;osm-222918432-2-forward;osm-222918432-3-forward;osm-222918432-4-forward;osm-222918432-5-forward;osm-222918432-6-forward;osm-222918432-7-forward;osm-222918432-8-forward;osm-222918432-9-forward;osm-222918432-10-forward;osm-72898374-0-forward;osm-72898374-1-forward;osm-72898374-2-forward;osm-72898374-3-forward;osm-72898374-4-forward;osm-72898374-5-forward;osm-72898374-6-forward;osm-1082369795-0-forward;osm-1082369795-1-forward;osm-1082369795-2-forward;osm-1082369794-0-forward;osm-1082369794-1-forward;osm-1082369794-2-forward,reference_vtc
17,286.8,655.99,655.99,0.0,6503.4,6470.6,-434.3,474.1,39.7,1823.3,1389.0,6.071496,45.092496,6.053381,45.077072,58.57,35.69,Avenue de l'Étendard > Promenade Clotaire Collomb > Rue de la Grenouillère > Rue du Maquis de l'Oisans > D 211F > Rond-Point de l'Europe > D 211F > Rond-Point de l'Europe ...,51,route_end,no_admissible_continuation,True,755,9.4,10.9,21.4,3.43,-17.97,asphalt_degraded=2%;asphalt_good=98%,0.016,28476170,1082369794,https://www.openstreetmap.org/way/28476170,osm-28476170-1-reverse;osm-91229843-6-reverse;osm-91229844-0-forward;osm-91229842-0-reverse;osm-28452050-2-forward;osm-28452050-3-forward;osm-264100534-0-forward;osm-264100587-0-forward;osm-264100590-0-forward;osm-28417066-0-forward;osm-28417065-0-forward;osm-264100559-0-forward;osm-724628368-0-forward;osm-49793787-0-forward;osm-28452293-1-reverse;osm-1016849386-1-reverse;osm-1016849384-0-reverse;osm-1016849383-1-forward;osm-122019424-0-reverse;osm-28452292-5-reverse;osm-28452292-4-reverse;osm-28452292-3-reverse;osm-28452292-2-reverse;osm-28452292-1-reverse;osm-28452292-0-reverse;osm-1267647424-0-forward;osm-264100557-0-forward;osm-264100558-0-forward;osm-264130575-0-forward;osm-264130575-1-forward;osm-264130575-2-forward;osm-1315255667-0-forward;osm-1315255667-1-forward;osm-1315255667-2-forward;osm-1462422576-0-forward;osm-1462422576-1-forward;osm-28437433-0-forward;osm-28437433-1-forward;osm-28437433-2-forward;osm-28437433-3-forward;osm-1249687718-0-forward;osm-457903735-0-forward;osm-457903735-1-forward;osm-457903734-0-forward;osm-457903734-1-forward;osm-1082369795-0-forward;osm-1082369795-1-forward;osm-1082369795-2-forward;osm-1082369794-0-forward;osm-1082369794-1-forward;osm-1082369794-2-forward,reference_vtc
18,285.67,285.67,285.67,0.0,1092.5,1176.0,-17.0,17.6,0.6,1355.9,1338.8,6.084524,45.047246,6.076904,45.040496,26.39,13.77,D 211a,6,speed_threshold,qualified_stop,False,177,14.3,14.3,1.19,3.43,2.24,asphalt_degraded=100%,1.0,186898322,560199121,https://www.openstreetmap.org/way/186898322,osm-186898322-0-reverse;osm-1529742813-1-reverse;osm-1529742813-0-reverse;osm-560199121-3-reverse;osm-560199121-2-reverse;osm-560199121-1-reverse,reference_vtc
19,285.41,285.41,285.41,0.0,675.9,771.2,-6.2,6.6,0.4,732.3,726.1,6.068401,45.032018,6.064142,45.03687,15.0,8.53,D 1091 > Rue des Vergers,5,speed_threshold,qualified_stop,False,51,32.3,47.3,0.19,3.43,3.24,asphalt_degraded=47%;asphalt_good=53%,0.475,152271731,225398356,https://www.openstreetmap.org/way/152271731,osm-152271731-1-reverse;osm-152271731-0-reverse;osm-1019378711-2-reverse;osm-225398356-1-reverse;osm-225398356-0-reverse,reference_vtc
20,284.12,658.3,658.3,0.0,6787.5,6756.2,-450.4,485.8,35.4,1839.4,1389.0,6.068694,45.094354,6.053381,45.077072,58.57,37.12,D 211 > Rue Maxime Sarret > Rue du Poutat > Promenade Clotaire Collomb > Rue de la Grenouillère > Rue du Maquis de l'Oisans > D 211F > Rond-Point de l'Europe ...,71,route_end,no_admissible_continuation,True,780,9.4,10.9,21.4,3.43,-17.97,asphalt_degraded=4%;asphalt_good=96%,0.044,119440073,1082369794,https://www.openstreetmap.org/way/119440073,osm-119440073-2-forward;osm-119440073-3-forward;osm-119440073-4-forward;osm-119440073-5-forward;osm-680424154-1-reverse;osm-680424154-0-reverse;osm-28476169-1-forward;osm-119558967-1-forward;osm-91229843-6-reverse;osm-91229844-0-forward;osm-91229842-0-reverse;osm-28452050-2-forward;osm-28452050-3-forward;osm-264100534-0-forward;osm-264100587-0-forward;osm-264100590-0-forward;osm-28417066-0-forward;osm-28417065-0-forward;osm-264100559-0-forward;osm-724628368-0-forward;osm-49793787-0-forward;osm-28452293-1-reverse;osm-1016849386-1-reverse;osm-1016849384-0-reverse;osm-1016849383-1-forward;osm-122019424-0-reverse;osm-28452292-5-reverse;osm-28452292-4-reverse;osm-28452292-3-reverse;osm-28452292-2-reverse;osm-28452292-1-reverse;osm-28452292-0-reverse;osm-1267647424-0-forward;osm-264100557-0-forward;osm-264100558-0-forward;osm-264130575-0-forward;osm-264130575-1-forward;osm-264130575-2-forward;osm-1315255667-0-forward;osm-1315255667-1-forward;osm-1315255667-2-forward;osm-1462422576-0-forward;osm-1462422576-1-forward;osm-28437433-0-forward;osm-28437433-1-forward;osm-28437433-2-forward;osm-28437433-3-forward;osm-222918432-0-forward;osm-222918432-1-forward;osm-222918432-2-forward;osm-222918432-3-forward;osm-222918432-4-forward;osm-222918432-5-forward;osm-222918432-6-forward;osm-222918432-7-forward;osm-222918432-8-forward;osm-222918432-9-forward;osm-222918432-10-forward;osm-72898374-0-forward;osm-72898374-1-forward;osm-72898374-2-forward;osm-72898374-3-forward;osm-72898374-4-forward;osm-72898374-5-forward;osm-72898374-6-forward;osm-1082369795-0-forward;osm-1082369795-1-forward;osm-1082369795-2-forward;osm-1082369794-0-forward;osm-1082369794-1-forward;osm-1082369794-2-forward,reference_vtc
