label,attempt,outcome,method,url,status,redirected,final_url,content_type,response_bytes,response_sha256,elapsed_s
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0439962%7C6.0440084%7C6.0440205%7C6.0440327%7C6.0440449%7C6.0440570%7C6.0440692%7C6.0440813%7C6.0440935%7C6.0441057%7C6.0441178%7C6.0441300%7C6.0441398%7C6.0441495%7C6.0441593%7C6.0441690%7C6.0441788%7C6.0441886%7C6.044198...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0439962%7C6.0440084%7C6.0440205%7C6.0440327%7C6.0440449%7C6.0440570%7C6.0440692%7C6.0440813%7C6.0440935%7C6.0441057%7C6.0441178%7C6.0441300%7C6.0441398%7C6.0441495%7C6.0441593%7C6.0441690%7C6.0441788%7C6.0441886%7C6.044198...,application/json,663,5ca96cb426125f093291fb716a909fde04ce7f3a8f2c5521255ff99bb8fa9133,0.61
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0408980%7C6.0408886%7C6.0408792%7C6.0409027%7C6.0409333%7C6.0409639%7C6.0410098%7C6.0410556%7C6.0411015%7C6.0411473%7C6.0411932%7C6.0412390%7C6.0412849%7C6.0413307%7C6.0413766%7C6.0414224%7C6.0414683%7C6.0415141%7C6.041560...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0408980%7C6.0408886%7C6.0408792%7C6.0409027%7C6.0409333%7C6.0409639%7C6.0410098%7C6.0410556%7C6.0411015%7C6.0411473%7C6.0411932%7C6.0412390%7C6.0412849%7C6.0413307%7C6.0413766%7C6.0414224%7C6.0414683%7C6.0415141%7C6.041560...,application/json,967,519de770def8d6c134d48c359df2e5a66db4c116bb17d2c87dc6c8735c8fe81b,0.844
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0408980%7C6.0408792%7C6.0409027%7C6.0409639%7C6.0410491%7C6.0411342%7C6.0412194%7C6.0413045%7C6.0413897%7C6.0414748%7C6.0415600%7C6.0416297%7C6.0416995%7C6.0417692%7C6.0418359%7C6.0419025%7C6.0419691%7C6.0420358%7C6.042096...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0408980%7C6.0408792%7C6.0409027%7C6.0409639%7C6.0410491%7C6.0411342%7C6.0412194%7C6.0413045%7C6.0413897%7C6.0414748%7C6.0415600%7C6.0416297%7C6.0416995%7C6.0417692%7C6.0418359%7C6.0419025%7C6.0419691%7C6.0420358%7C6.042096...,application/json,536,c20271c6a11e7b953c82f936a0b71aee71ad08f6b322fa4b286ed2729f18d2c0,0.5
altimetry:ign_rge_alti_wld,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0408980%7C6.0408792%7C6.0409027%7C6.0409639%7C6.0410491%7C6.0411342%7C6.0412194%7C6.0413045%7C6.0413897%7C6.0414748%7C6.0415600%7C6.0416297%7C6.0416995%7C6.0417692%7C6.0418359%7C6.0419025%7C6.0419691%7C6.0420358%7C6.042096...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0408980%7C6.0408792%7C6.0409027%7C6.0409639%7C6.0410491%7C6.0411342%7C6.0412194%7C6.0413045%7C6.0413897%7C6.0414748%7C6.0415600%7C6.0416297%7C6.0416995%7C6.0417692%7C6.0418359%7C6.0419025%7C6.0419691%7C6.0420358%7C6.042096...,application/json,535,1398bab871de877b350ba43736732a387ecd543c75feb6e4e6df12fe89ba1cd1,0.484
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0408980%7C6.0408792%7C6.0409027%7C6.0409639%7C6.0411626%7C6.0413613%7C6.0415600%7C6.0417692%7C6.0419025%7C6.0420358%7C6.0422186%7C6.0424421%7C6.0425457%7C6.0427614%7C6.0429886%7C6.0432157%7C6.0433756%7C6.0435356%7C6.043635...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0408980%7C6.0408792%7C6.0409027%7C6.0409639%7C6.0411626%7C6.0413613%7C6.0415600%7C6.0417692%7C6.0419025%7C6.0420358%7C6.0422186%7C6.0424421%7C6.0425457%7C6.0427614%7C6.0429886%7C6.0432157%7C6.0433756%7C6.0435356%7C6.043635...,application/json,263,314d8ad1460a360a58ecfa8bd2e6da38b71b0115602a79364b631ccbbfd32c5c,0.281
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0821290%7C6.0821071%7C6.0820851%7C6.0820631%7C6.0820412%7C6.0820211%7C6.0820095%7C6.0819934%7C6.0819774%7C6.0819613%7C6.0819549%7C6.0819485%7C6.0819417%7C6.0819349%7C6.0819247%7C6.0819146%7C6.0819044%7C6.0818904%7C6.081879...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0821290%7C6.0821071%7C6.0820851%7C6.0820631%7C6.0820412%7C6.0820211%7C6.0820095%7C6.0819934%7C6.0819774%7C6.0819613%7C6.0819549%7C6.0819485%7C6.0819417%7C6.0819349%7C6.0819247%7C6.0819146%7C6.0819044%7C6.0818904%7C6.081879...,application/json,1794,af3994544e34afaf3ca1f3e6d1008a29ca1e9c3b95ac75e9ec461b2e6f3f68fe,0.453
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0793500%7C6.0793273%7C6.0793047%7C6.0792820%7C6.0792593%7C6.0792358%7C6.0792124%7C6.0791889%7C6.0791655%7C6.0791420%7C6.0791186%7C6.0790951%7C6.0790702%7C6.0790453%7C6.0790203%7C6.0789954%7C6.0789705%7C6.0789541%7C6.078937...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0793500%7C6.0793273%7C6.0793047%7C6.0792820%7C6.0792593%7C6.0792358%7C6.0792124%7C6.0791889%7C6.0791655%7C6.0791420%7C6.0791186%7C6.0790951%7C6.0790702%7C6.0790453%7C6.0790203%7C6.0789954%7C6.0789705%7C6.0789541%7C6.078937...,application/json,1653,3f7da13e1cbffe91c341774831996202b049fa3e01b17712d3f6d0bb39a54b00,0.75
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0821290%7C6.0820851%7C6.0820412%7C6.0820211%7C6.0820095%7C6.0819854%7C6.0819613%7C6.0819485%7C6.0819349%7C6.0819044%7C6.0818904%7C6.0818675%7C6.0818418%7C6.0817948%7C6.0817478%7C6.0817008%7C6.0816714%7C6.0816552%7C6.081635...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0821290%7C6.0820851%7C6.0820412%7C6.0820211%7C6.0820095%7C6.0819854%7C6.0819613%7C6.0819485%7C6.0819349%7C6.0819044%7C6.0818904%7C6.0818675%7C6.0818418%7C6.0817948%7C6.0817478%7C6.0817008%7C6.0816714%7C6.0816552%7C6.081635...,application/json,1796,72500b06111f21752f33c51b42f66982a280c2f675f0a3bd117bc06f57411b26,0.75
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0772023&lat=45.0996002&resource=ign_rge_alti_par_territoires&delimiter=%7C&measures=false&zonly=true,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0772023&lat=45.0996002&resource=ign_rge_alti_par_territoires&delimiter=%7C&measures=false&zonly=true,application/json,24,f656a121153e11fd52a12a14ca34bd43de4c9e36ffc20e5a9eea90a9de02639f,0.297
altimetry:ign_rge_alti_par_territoires,1,ok,GET,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0821290%7C6.0820412%7C6.0820211%7C6.0820095%7C6.0819613%7C6.0819485%7C6.0819349%7C6.0819044%7C6.0818904%7C6.0818675%7C6.0818418%7C6.0817713%7C6.0817008%7C6.0816714%7C6.0816552%7C6.0816357%7C6.0816123%7C6.0815900%7C6.081535...,200,False,https://data.geopf.fr/altimetrie/1.0/calcul/alti/rest/elevation.json?lon=6.0821290%7C6.0820412%7C6.0820211%7C6.0820095%7C6.0819613%7C6.0819485%7C6.0819349%7C6.0819044%7C6.0818904%7C6.0818675%7C6.0818418%7C6.0817713%7C6.0817008%7C6.0816714%7C6.0816552%7C6.0816357%7C6.0816123%7C6.0815900%7C6.081535...,application/json,1384,1598c362ce8df5f4989fb47bf3d8af6026416c6e92283a8a68922f8b3c73f12d,0.5
