source,retrieved_at,osm_way_id,edge_id,requested_spacing_m,realised_mean_spacing_m,variant,conditioning_window_m,simulated,not_simulated_reason,travelled_length_3d_m,net_dz_m,elapsed_time_s,moving_time_s,stationary_time_s,first_below_threshold_time_s,first_zero_speed_time_s,qualified_stop_time_s,travelled_distance_m,final_speed_m_s,completed_route,stop_reason
live,2026-08-07T07:21:53+00:00,28429107,osm-way-28429107-forward,10.0,7.118,conditioned,25.0,True,,293.352,-25.882,33.493702,33.493702,0.0,,,,293.352,15.440542,True,route_end
live,2026-08-07T07:21:53+00:00,28429107,osm-way-28429107-forward,25.0,11.225,raw,0.0,True,,293.418,-27.1,32.580399,32.580399,0.0,,,,293.418,16.077814,True,route_end
live,2026-08-07T07:21:53+00:00,28429107,osm-way-28429107-forward,25.0,11.225,conditioned,25.0,True,,293.566,-25.882,33.595322,33.595322,0.0,,,,293.566,15.411051,True,route_end
live,2026-08-07T07:21:53+00:00,49210503,osm-way-49210503-forward,2.0,1.908,raw,0.0,False,5 segment(s) exceed |grade| 0.5,326.861,-3.13,,,,,,,,,,
live,2026-08-07T07:21:53+00:00,49210503,osm-way-49210503-forward,2.0,1.908,conditioned,25.0,True,,318.99,-5.241,81.275993,81.275993,0.0,,,,318.99,4.50904,True,route_end
live,2026-08-07T07:21:53+00:00,49210503,osm-way-49210503-forward,5.0,4.552,raw,0.0,False,3 segment(s) exceed |grade| 0.5,325.38,-3.13,,,,,,,,,,
live,2026-08-07T07:21:53+00:00,49210503,osm-way-49210503-forward,5.0,4.552,conditioned,25.0,True,,319.032,-5.053,7.240225,5.513976,1.72625,5.240225,5.513976,7.240225,13.815,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,49210503,osm-way-49210503-forward,10.0,8.384,raw,0.0,True,,319.238,-3.13,3.081656,1.166147,1.915509,1.081656,1.166147,3.081656,2.422,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,49210503,osm-way-49210503-forward,10.0,8.384,conditioned,25.0,True,,318.758,-4.595,6.130369,4.376672,1.753697,4.130369,4.376672,6.130369,10.405,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,49210503,osm-way-49210503-forward,25.0,18.742,raw,0.0,True,,318.95,-3.13,4.084979,2.248808,1.836172,2.084979,2.248808,4.084979,4.658,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,49210503,osm-way-49210503-forward,25.0,18.742,conditioned,25.0,True,,318.95,-3.13,4.084979,2.248808,1.836172,2.084979,2.248808,4.084979,4.658,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,36939194,osm-way-36939194-forward,2.0,1.943,raw,0.0,True,,547.751,0.76,3.48357,1.627878,1.855691,1.48357,1.627878,3.48357,2.997,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,36939194,osm-way-36939194-forward,2.0,1.943,conditioned,25.0,True,,546.197,-1.076,9.418575,8.130347,1.288228,7.418575,8.130347,9.418575,16.721,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,36939194,osm-way-36939194-forward,5.0,4.588,raw,0.0,True,,546.717,0.76,3.485691,1.585158,1.900532,1.485691,1.585158,3.485691,3.512,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,36939194,osm-way-36939194-forward,5.0,4.588,conditioned,25.0,True,,546.236,-0.611,7.641653,5.98488,1.656773,5.641653,5.98488,7.641653,12.538,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,36939194,osm-way-36939194-forward,10.0,8.4,raw,0.0,True,,546.586,0.76,3.440834,1.55362,1.887214,1.440834,1.55362,3.440834,3.223,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,36939194,osm-way-36939194-forward,10.0,8.4,conditioned,25.0,True,,546.209,-0.78,8.389213,6.768305,1.620909,6.389213,6.768305,8.389213,15.571,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,36939194,osm-way-36939194-forward,25.0,18.199,raw,0.0,True,,546.517,0.76,3.440834,1.55362,1.887214,1.440834,1.55362,3.440834,3.223,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,36939194,osm-way-36939194-forward,25.0,18.199,conditioned,25.0,True,,546.244,-0.54,8.222772,6.58224,1.640532,6.222772,6.58224,8.222772,15.303,0.0,False,speed_threshold
live,2026-08-07T07:21:53+00:00,363222611,osm-way-363222611-forward,2.0,1.623,raw,0.0,False,1 segment(s) exceed |grade| 0.5,633.462,-91.79,,,,,,,,,,
live,2026-08-07T07:21:53+00:00,363222611,osm-way-363222611-forward,2.0,1.623,conditioned,25.0,True,,631.383,-90.517,40.088575,40.088575,0.0,,,,631.383,17.506892,True,route_end
live,2026-08-07T07:21:53+00:00,363222611,osm-way-363222611-forward,5.0,3.116,raw,0.0,True,,632.757,-91.79,40.275166,40.275166,0.0,,,,632.757,17.991962,True,route_end
live,2026-08-07T07:21:53+00:00,363222611,osm-way-363222611-forward,5.0,3.116,conditioned,25.0,False,1 segment(s) exceed |grade| 0.5,632.008,-90.542,,,,,,,,,,
live,2026-08-07T07:21:53+00:00,363222611,osm-way-363222611-forward,10.0,4.073,raw,0.0,True,,632.649,-91.79,40.251966,40.251966,0.0,,,,632.649,17.991622,True,route_end
live,2026-08-07T07:21:53+00:00,363222611,osm-way-363222611-forward,10.0,4.073,conditioned,25.0,False,1 segment(s) exceed |grade| 0.5,632.356,-90.704,,,,,,,,,,
live,2026-08-07T07:21:53+00:00,363222611,osm-way-363222611-forward,25.0,4.297,raw,0.0,True,,632.635,-91.79,40.24736,40.24736,0.0,,,,632.635,17.991803,True,route_end
live,2026-08-07T07:21:53+00:00,363222611,osm-way-363222611-forward,25.0,4.297,conditioned,25.0,False,1 segment(s) exceed |grade| 0.5,632.614,-90.697,,,,,,,,,,
live,2026-08-07T07:21:53+00:00,708124926,osm-way-708124926-forward,2.0,1.541,raw,0.0,True,,2017.489,-206.56,134.905032,134.905032,0.0,,,,2017.489,15.274275,True,route_end
live,2026-08-07T07:21:53+00:00,708124926,osm-way-708124926-forward,2.0,1.541,conditioned,25.0,True,,2011.874,-205.367,135.189903,135.189903,0.0,,,,2011.874,14.934307,True,route_end
live,2026-08-07T07:21:53+00:00,708124926,osm-way-708124926-forward,5.0,2.8,raw,0.0,True,,2015.574,-206.56,134.70909,134.70909,0.0,,,,2015.574,15.284972,True,route_end
live,2026-08-07T07:21:53+00:00,708124926,osm-way-708124926-forward,5.0,2.8,conditioned,25.0,True,,2012.187,-205.513,134.938375,134.938375,0.0,,,,2012.187,14.934773,True,route_end
live,2026-08-07T07:21:53+00:00,708124926,osm-way-708124926-forward,10.0,3.214,raw,0.0,True,,2015.404,-206.56,134.62257,134.62257,0.0,,,,2015.404,15.277688,True,route_end
live,2026-08-07T07:21:53+00:00,708124926,osm-way-708124926-forward,10.0,3.214,conditioned,25.0,True,,2012.921,-205.68,134.991955,134.991955,0.0,,,,2012.921,15.079416,True,route_end
live,2026-08-07T07:21:53+00:00,708124926,osm-way-708124926-forward,25.0,3.332,raw,0.0,True,,2015.378,-206.56,134.61504,134.61504,0.0,,,,2015.378,15.284565,True,route_end
live,2026-08-07T07:21:53+00:00,708124926,osm-way-708124926-forward,25.0,3.332,conditioned,25.0,True,,2013.113,-206.56,134.198026,134.198026,0.0,,,,2013.113,15.316956,True,route_end
