source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T19:50:49+00:00,28477536,0.0000,6.0347371,45.0568645,938833.855,6444324.660,718.85,718.5900
live,2026-08-07T19:50:49+00:00,28477536,8.1369,6.0346560,45.0569100,938827.285,6444329.460,718.33,718.3033
live,2026-08-07T19:50:49+00:00,28477536,16.2737,6.0345750,45.0569554,938820.715,6444334.260,717.73,717.8800
live,2026-08-07T19:50:49+00:00,28477536,24.4106,6.0344939,45.0570009,938814.144,6444339.060,717.58,717.6733
live,2026-08-07T19:50:49+00:00,28477536,32.5475,6.0344129,45.0570463,938807.574,6444343.860,717.71,717.6500
live,2026-08-07T19:50:49+00:00,28477536,40.6843,6.0343318,45.0570918,938801.004,6444348.660,717.66,717.6500
live,2026-08-07T19:50:49+00:00,28477536,49.8701,6.0342557,45.0571545,938794.750,6444355.388,717.58,717.6233
live,2026-08-07T19:50:49+00:00,28477536,59.4884,6.0341743,45.0572191,938788.075,6444362.314,717.63,717.5867
live,2026-08-07T19:50:49+00:00,28477536,69.1067,6.0340930,45.0572837,938781.401,6444369.239,717.55,717.5967
live,2026-08-07T19:50:49+00:00,28477536,78.7249,6.0340117,45.0573483,938774.726,6444376.164,717.61,717.5800
live,2026-08-07T19:50:49+00:00,28477536,88.3432,6.0339303,45.0574130,938768.051,6444383.089,717.58,717.5733
live,2026-08-07T19:50:49+00:00,28477536,97.9614,6.0338490,45.0574776,938761.377,6444390.014,717.53,717.5533
live,2026-08-07T19:50:49+00:00,28477536,107.5797,6.0337676,45.0575422,938754.702,6444396.940,717.55,717.5167
live,2026-08-07T19:50:49+00:00,28477536,113.6745,6.0337176,45.0575841,938750.590,6444401.439,717.47,717.4400
live,2026-08-07T19:50:49+00:00,28477536,122.4906,6.0336438,45.0576438,938744.532,6444407.843,717.30,717.3700
live,2026-08-07T19:50:49+00:00,28477536,131.3067,6.0335700,45.0577035,938738.473,6444414.248,717.34,717.3433
live,2026-08-07T19:50:49+00:00,28477536,140.1228,6.0334963,45.0577633,938732.415,6444420.653,717.39,717.3767
live,2026-08-07T19:50:49+00:00,28477536,148.9389,6.0334225,45.0578230,938726.357,6444427.058,717.40,717.4167
live,2026-08-07T19:50:49+00:00,28477536,157.7550,6.0333487,45.0578827,938720.299,6444433.462,717.46,717.4400
live,2026-08-07T19:50:49+00:00,28477536,167.4684,6.0332699,45.0579500,938713.810,6444440.691,717.46,717.4167
live,2026-08-07T19:50:49+00:00,28477536,177.1819,6.0331910,45.0580173,938707.322,6444447.919,717.33,717.3133
live,2026-08-07T19:50:49+00:00,28477536,186.8954,6.0331122,45.0580845,938700.833,6444455.148,717.15,717.1833
live,2026-08-07T19:50:49+00:00,28477536,196.6088,6.0330333,45.0581518,938694.345,6444462.376,717.07,717.0333
live,2026-08-07T19:50:49+00:00,28477536,206.3223,6.0329545,45.0582191,938687.856,6444469.605,716.88,716.9633
live,2026-08-07T19:50:49+00:00,28477536,216.2545,6.0328905,45.0582962,938682.489,6444477.962,716.94,716.9200
live,2026-08-07T19:50:49+00:00,28477536,226.1868,6.0328264,45.0583732,938677.123,6444486.320,716.94,716.9467
live,2026-08-07T19:50:49+00:00,28477536,234.4034,6.0327734,45.0584369,938672.680,6444493.232,716.96,716.9600
live,2026-08-07T19:50:49+00:00,28477536,242.6200,6.0327203,45.0585006,938668.237,6444500.144,716.98,716.9867
live,2026-08-07T19:50:49+00:00,28477536,250.8367,6.0326673,45.0585644,938663.795,6444507.056,717.02,717.0367
live,2026-08-07T19:50:49+00:00,28477536,259.0533,6.0326143,45.0586281,938659.352,6444513.968,717.11,717.0933
live,2026-08-07T19:50:49+00:00,28477536,268.1892,6.0325506,45.0586969,938654.046,6444521.405,717.15,717.1333
live,2026-08-07T19:50:49+00:00,28477536,277.3251,6.0324868,45.0587656,938648.741,6444528.842,717.14,717.1600
live,2026-08-07T19:50:49+00:00,28477536,286.4610,6.0324231,45.0588343,938643.435,6444536.280,717.19,717.1867
live,2026-08-07T19:50:49+00:00,28477536,295.5969,6.0323594,45.0589031,938638.129,6444543.717,717.23,717.2500
live,2026-08-07T19:50:49+00:00,28477536,301.6929,6.0323100,45.0589454,938634.067,6444548.263,717.28,717.2700
live,2026-08-07T19:50:49+00:00,28477536,307.7890,6.0322607,45.0589877,938630.005,6444552.808,717.30,717.2900
live,2026-08-07T19:50:49+00:00,28477536,314.8778,6.0321930,45.0590298,938624.497,6444557.270,717.35,717.3267
live,2026-08-07T19:50:49+00:00,28477536,321.9667,6.0321252,45.0590718,938618.988,6444561.732,717.33,717.3133
live,2026-08-07T19:50:49+00:00,28477536,329.5134,6.0320419,45.0591055,938612.296,6444565.220,717.26,717.2833
live,2026-08-07T19:50:49+00:00,28477536,337.0600,6.0319587,45.0591392,938605.604,6444568.709,717.26,717.2300
live,2026-08-07T19:50:49+00:00,28477536,346.4961,6.0318521,45.0591781,938597.055,6444572.702,717.17,717.1933
live,2026-08-07T19:50:49+00:00,28477536,355.9321,6.0317455,45.0592170,938588.505,6444576.696,717.15,717.1300
live,2026-08-07T19:50:49+00:00,28477536,365.3681,6.0316389,45.0592558,938579.956,6444580.689,717.07,717.1033
live,2026-08-07T19:50:49+00:00,28477536,374.8041,6.0315324,45.0592947,938571.407,6444584.682,717.09,717.0700
live,2026-08-07T19:50:49+00:00,28477536,384.2401,6.0314258,45.0593336,938562.857,6444588.675,717.05,717.0767
live,2026-08-07T19:50:49+00:00,28477536,393.6762,6.0313192,45.0593725,938554.308,6444592.669,717.09,717.0833
live,2026-08-07T19:50:49+00:00,28477536,401.9991,6.0312250,45.0594065,938546.751,6444596.157,717.11,717.0900
live,2026-08-07T19:50:49+00:00,28477536,410.3220,6.0311308,45.0594405,938539.195,6444599.646,717.07,717.0700
live,2026-08-07T19:50:49+00:00,28477536,418.6449,6.0310365,45.0594745,938531.639,6444603.135,717.03,717.0467
live,2026-08-07T19:50:49+00:00,28477536,426.9679,6.0309423,45.0595085,938524.082,6444606.624,717.04,717.0500
live,2026-08-07T19:50:49+00:00,28477536,434.3508,6.0308494,45.0595177,938516.736,6444607.358,717.08,717.1033
live,2026-08-07T19:50:49+00:00,28477536,441.7338,6.0307565,45.0595268,938509.390,6444608.093,717.19,717.1467
live,2026-08-07T19:50:49+00:00,28477536,450.1216,6.0306504,45.0595198,938501.074,6444606.996,717.17,717.2000
live,2026-08-07T19:50:49+00:00,28477536,455.2515,6.0305855,45.0595156,938495.987,6444606.334,717.21,717.2033
live,2026-08-07T19:50:49+00:00,28477536,461.6191,6.0305069,45.0595019,938489.867,6444604.576,717.23,717.1925
live,2026-08-07T19:50:49+00:00,28477536,467.9867,6.0304284,45.0594882,938483.746,6444602.818,717.16,717.1867
live,2026-08-07T19:50:49+00:00,28477536,474.9387,6.0303492,45.0594605,938477.635,6444599.505,717.17,717.2300
live,2026-08-07T19:50:49+00:00,28477536,481.8908,6.0302700,45.0594328,938471.523,6444596.192,717.36,717.2933
live,2026-08-07T19:50:49+00:00,28477536,488.7115,6.0301998,45.0593968,938466.159,6444591.979,717.35,717.4100
live,2026-08-07T19:50:49+00:00,28477536,495.5322,6.0301297,45.0593607,938460.795,6444587.766,717.52,717.4350
