source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T19:50:49+00:00,28429107,0.0000,6.0692077,45.0900154,941402.259,6448108.560,1807.07,1806.8950
live,2026-08-07T19:50:49+00:00,28429107,2.0878,6.0691855,45.0900051,941400.559,6448107.349,1806.98,1806.8950
live,2026-08-07T19:50:49+00:00,28429107,5.8846,6.0691451,45.0899864,941397.463,6448105.151,1806.86,1806.8950
live,2026-08-07T19:50:49+00:00,28429107,11.8871,6.0690756,45.0899641,941392.096,6448102.463,1806.67,1806.8950
live,2026-08-07T19:50:49+00:00,28429107,30.8298,6.0688480,45.0899085,941374.444,6448095.592,1806.08,1806.0800
live,2026-08-07T19:50:49+00:00,28429107,49.7724,6.0686204,45.0898528,941356.791,6448088.720,1805.27,1805.2700
live,2026-08-07T19:50:49+00:00,28429107,63.1915,6.0684566,45.0898191,941344.060,6448084.479,1804.06,1803.6400
live,2026-08-07T19:50:49+00:00,28429107,71.8057,6.0683472,45.0898159,941335.473,6448083.790,1803.22,1803.6400
live,2026-08-07T19:50:49+00:00,28429107,88.1793,6.0681406,45.0898337,941319.155,6448085.134,1801.89,1801.4500
live,2026-08-07T19:50:49+00:00,28429107,98.0907,6.0680159,45.0898464,941309.297,6448086.162,1801.01,1801.1500
live,2026-08-07T19:50:49+00:00,28429107,108.4256,6.0678871,45.0898647,941299.093,6448087.800,1800.55,1800.6800
live,2026-08-07T19:50:49+00:00,28429107,114.4336,6.0678128,45.0898772,941293.198,6448088.960,1800.48,1800.5150
live,2026-08-07T19:50:49+00:00,28429107,135.8689,6.0675653,45.0899579,941273.393,6448097.159,1799.68,1799.6800
live,2026-08-07T19:50:49+00:00,28429107,149.8076,6.0673978,45.0899988,941260.049,6448101.187,1798.08,1798.0800
live,2026-08-07T19:50:49+00:00,28429107,162.6860,6.0672375,45.0900223,941247.346,6448103.305,1796.61,1796.0750
live,2026-08-07T19:50:49+00:00,28429107,174.6835,6.0670866,45.0900379,941235.416,6448104.575,1795.54,1796.0750
live,2026-08-07T19:50:49+00:00,28429107,187.2865,6.0669296,45.0900604,941222.976,6448106.598,1794.40,1794.4000
live,2026-08-07T19:50:49+00:00,28429107,199.8894,6.0667726,45.0900830,941210.536,6448108.621,1793.15,1793.1500
live,2026-08-07T19:50:49+00:00,28429107,213.3612,6.0666069,45.0901136,941197.378,6448111.511,1791.66,1791.6600
live,2026-08-07T19:50:49+00:00,28429107,232.9970,6.0663679,45.0901645,941178.370,6448116.435,1789.29,1789.2900
live,2026-08-07T19:50:49+00:00,28429107,252.6327,6.0661289,45.0902155,941159.362,6448121.360,1786.68,1786.3750
live,2026-08-07T19:50:49+00:00,28429107,256.8560,6.0660776,45.0902267,941155.281,6448122.446,1786.07,1785.9100
live,2026-08-07T19:50:49+00:00,28429107,265.2057,6.0659762,45.0902489,941147.214,6448124.600,1784.98,1785.5250
live,2026-08-07T19:50:49+00:00,28429107,278.1066,6.0658202,45.0902847,941134.796,6448128.096,1783.02,1782.0300
live,2026-08-07T19:50:49+00:00,28429107,282.5027,6.0657644,45.0902826,941130.418,6448127.693,1782.00,1781.5150
live,2026-08-07T19:50:49+00:00,28429107,286.7568,6.0657104,45.0902806,941126.182,6448127.306,1781.07,1781.5150
live,2026-08-07T19:50:49+00:00,28429107,291.8395,6.0656470,45.0902718,941121.235,6448126.136,1779.97,1781.0133
