source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T07:21:53+00:00,363222611,0.0000,6.0821290,45.1012411,942369.391,6449393.946,2028.79,2028.4875
live,2026-08-07T07:21:53+00:00,363222611,6.9183,6.0820412,45.1012448,942362.474,6449394.087,2028.52,2027.8550
live,2026-08-07T07:21:53+00:00,363222611,8.5388,6.0820211,45.1012416,942360.908,6449393.670,2028.47,2027.5100
live,2026-08-07T07:21:53+00:00,363222611,9.6686,6.0820095,45.1012356,942360.022,6449392.969,2028.17,2027.5100
live,2026-08-07T07:21:53+00:00,363222611,14.9650,6.0819613,45.1012023,942356.378,6449389.125,2026.90,2026.4325
live,2026-08-07T07:21:53+00:00,363222611,17.0949,6.0819485,45.1011854,942355.446,6449387.211,2026.28,2026.0711
live,2026-08-07T07:21:53+00:00,363222611,20.4466,6.0819349,45.1011568,942354.501,6449383.995,2025.44,2025.4578
live,2026-08-07T07:21:53+00:00,363222611,25.3689,6.0819044,45.1011181,942352.271,6449379.607,2024.03,2024.3763
live,2026-08-07T07:21:53+00:00,363222611,26.8193,6.0818904,45.1011096,942351.208,6449378.620,2023.65,2024.3763
live,2026-08-07T07:21:53+00:00,363222611,28.8278,6.0818675,45.1011016,942349.442,6449377.662,2023.18,2024.0157
live,2026-08-07T07:21:53+00:00,363222611,30.8493,6.0818418,45.1011017,942347.422,6449377.594,2023.00,2023.3714
live,2026-08-07T07:21:53+00:00,363222611,36.4138,6.0817713,45.1011058,942341.863,6449377.839,2022.53,2022.5067
live,2026-08-07T07:21:53+00:00,363222611,41.9782,6.0817008,45.1011100,942336.304,6449378.083,2021.77,2021.9500
live,2026-08-07T07:21:53+00:00,363222611,44.3418,6.0816714,45.1011144,942333.974,6449378.481,2021.43,2021.7867
live,2026-08-07T07:21:53+00:00,363222611,45.8118,6.0816552,45.1011210,942332.672,6449379.164,2021.49,2021.7857
live,2026-08-07T07:21:53+00:00,363222611,48.2186,6.0816357,45.1011377,942331.067,6449380.957,2021.48,2021.7857
live,2026-08-07T07:21:53+00:00,363222611,54.5558,6.0816123,45.1011923,942328.991,6449386.945,2022.02,2021.5450
live,2026-08-07T07:21:53+00:00,363222611,58.1068,6.0815900,45.1012201,942327.118,6449389.961,2021.78,2021.3883
live,2026-08-07T07:21:53+00:00,363222611,66.6734,6.0815353,45.1012868,942322.530,6449397.196,2021.07,2021.1357
live,2026-08-07T07:21:53+00:00,363222611,69.4000,6.0815205,45.1013090,942321.270,6449399.614,2020.49,2020.7657
live,2026-08-07T07:21:53+00:00,363222611,71.3353,6.0815259,45.1013260,942321.621,6449401.517,2021.09,2020.3700
live,2026-08-07T07:21:53+00:00,363222611,74.3576,6.0815307,45.1013530,942321.881,6449404.528,2021.29,2020.0900
live,2026-08-07T07:21:53+00:00,363222611,78.6990,6.0814988,45.1013849,942319.236,6449407.970,2020.21,2019.6922
live,2026-08-07T07:21:53+00:00,363222611,81.1897,6.0814717,45.1013965,942317.056,6449409.175,2019.43,2019.0822
live,2026-08-07T07:21:53+00:00,363222611,82.7163,6.0814523,45.1013961,942315.533,6449409.071,2019.01,2018.9062
live,2026-08-07T07:21:53+00:00,363222611,84.7599,6.0814304,45.1013862,942313.854,6449407.905,2018.13,2017.5856
live,2026-08-07T07:21:53+00:00,363222611,90.0158,6.0813956,45.1013458,942311.294,6449403.315,2016.51,2016.3750
live,2026-08-07T07:21:53+00:00,363222611,92.3093,6.0813689,45.1013375,942309.232,6449402.312,2015.58,2015.7100
live,2026-08-07T07:21:53+00:00,363222611,95.3397,6.0813310,45.1013326,942306.274,6449401.651,2014.36,2014.6644
live,2026-08-07T07:21:53+00:00,363222611,97.0925,6.0813153,45.1013214,942305.089,6449400.360,2013.75,2014.6644
live,2026-08-07T07:21:53+00:00,363222611,98.6617,6.0813060,45.1013089,942304.412,6449398.945,2013.25,2013.9344
live,2026-08-07T07:21:53+00:00,363222611,100.0958,6.0813068,45.1012960,942304.531,6449397.515,2013.52,2013.9344
live,2026-08-07T07:21:53+00:00,363222611,103.4417,6.0813278,45.1012698,942306.295,6449394.672,2013.56,2013.6125
live,2026-08-07T07:21:53+00:00,363222611,105.2464,6.0813238,45.1012538,942306.050,6449392.884,2013.32,2012.8138
live,2026-08-07T07:21:53+00:00,363222611,110.4264,6.0812828,45.1012173,942302.985,6449388.708,2011.56,2011.7100
live,2026-08-07T07:21:53+00:00,363222611,117.2766,6.0812330,45.1011667,942299.290,6449382.940,2009.19,2009.5820
live,2026-08-07T07:21:53+00:00,363222611,122.5259,6.0811953,45.1011277,942296.496,6449378.496,2007.57,2008.6475
live,2026-08-07T07:21:53+00:00,363222611,128.8838,6.0811488,45.1010809,942293.048,6449373.154,2006.27,2007.0525
live,2026-08-07T07:21:53+00:00,363222611,135.2417,6.0811024,45.1010340,942289.600,6449367.812,2005.18,2005.0467
live,2026-08-07T07:21:53+00:00,363222611,143.3318,6.0810360,45.1009784,942284.619,6449361.438,2003.69,2003.7900
live,2026-08-07T07:21:53+00:00,363222611,151.4220,6.0809695,45.1009228,942279.637,6449355.064,2002.50,2002.3350
live,2026-08-07T07:21:53+00:00,363222611,155.8870,6.0809357,45.1008905,942277.120,6449351.375,2001.84,2001.5850
live,2026-08-07T07:21:53+00:00,363222611,160.5599,6.0809069,45.1008537,942275.016,6449347.203,2001.31,2001.2740
live,2026-08-07T07:21:53+00:00,363222611,166.4445,6.0808771,45.1008051,942272.884,6449341.718,2000.69,2000.2600
live,2026-08-07T07:21:53+00:00,363222611,171.2289,6.0808403,45.1007708,942270.140,6449337.799,2000.03,1999.8200
live,2026-08-07T07:21:53+00:00,363222611,174.0612,6.0808116,45.1007554,942267.951,6449336.002,1999.63,1999.5717
live,2026-08-07T07:21:53+00:00,363222611,175.7067,6.0807926,45.1007492,942266.485,6449335.255,1999.32,1999.5717
live,2026-08-07T07:21:53+00:00,363222611,178.7408,6.0807550,45.1007431,942263.556,6449334.463,1999.00,1999.3943
live,2026-08-07T07:21:53+00:00,363222611,182.7198,6.0807045,45.1007452,942259.578,6449334.541,1998.76,1999.1783
live,2026-08-07T07:21:53+00:00,363222611,188.2772,6.0806350,45.1007542,942254.076,6449335.327,1998.33,1998.4900
live,2026-08-07T07:21:53+00:00,363222611,197.5168,6.0805176,45.1007570,942244.837,6449335.277,1997.87,1997.9800
live,2026-08-07T07:21:53+00:00,363222611,204.8430,6.0804269,45.1007720,942237.643,6449336.664,1997.74,1997.6400
live,2026-08-07T07:21:53+00:00,363222611,211.8003,6.0803463,45.1007978,942231.196,6449339.280,1997.31,1997.2567
live,2026-08-07T07:21:53+00:00,363222611,218.2035,6.0802719,45.1008212,942225.247,6449341.648,1996.72,1996.1700
live,2026-08-07T07:21:53+00:00,363222611,224.6067,6.0801975,45.1008446,942219.298,6449344.017,1995.77,1995.0080
live,2026-08-07T07:21:53+00:00,363222611,230.0313,6.0801321,45.1008601,942214.091,6449345.536,1994.88,1994.6967
live,2026-08-07T07:21:53+00:00,363222611,234.0517,6.0800813,45.1008641,942210.081,6449345.824,1993.99,1993.8717
live,2026-08-07T07:21:53+00:00,363222611,235.6284,6.0800632,45.1008580,942208.684,6449345.092,1993.68,1993.8717
live,2026-08-07T07:21:53+00:00,363222611,237.8122,6.0800369,45.1008517,942206.644,6449344.312,1993.14,1992.9300
live,2026-08-07T07:21:53+00:00,363222611,243.1644,6.0799928,45.1008150,942203.337,6449340.104,1991.77,1991.6586
live,2026-08-07T07:21:53+00:00,363222611,249.2819,6.0799415,45.1007736,942199.484,6449335.352,1990.12,1990.3067
live,2026-08-07T07:21:53+00:00,363222611,251.8510,6.0799155,45.1007596,942197.502,6449333.719,1989.73,1989.7400
live,2026-08-07T07:21:53+00:00,363222611,253.8995,6.0799023,45.1007437,942196.533,6449331.914,1989.18,1989.7400
live,2026-08-07T07:21:53+00:00,363222611,259.8828,6.0798879,45.1006908,942195.630,6449325.999,1987.90,1988.4380
live,2026-08-07T07:21:53+00:00,363222611,269.7402,6.0798553,45.1006051,942193.439,6449316.388,1985.26,1985.5333
live,2026-08-07T07:21:53+00:00,363222611,277.7716,6.0798332,45.1005345,942192.008,6449308.485,1983.44,1982.6220
live,2026-08-07T07:21:53+00:00,363222611,284.4749,6.0798159,45.1004754,942190.904,6449301.873,1982.06,1981.3467
live,2026-08-07T07:21:53+00:00,363222611,287.0907,6.0798003,45.1004546,942189.768,6449299.517,1981.51,1981.1157
live,2026-08-07T07:21:53+00:00,363222611,289.8385,6.0797722,45.1004399,942187.623,6449297.800,1980.84,1981.1157
live,2026-08-07T07:21:53+00:00,363222611,292.6840,6.0797371,45.1004337,942184.891,6449297.004,1980.25,1980.5743
live,2026-08-07T07:21:53+00:00,363222611,294.7323,6.0797113,45.1004362,942182.852,6449297.202,1979.98,1980.5743
live,2026-08-07T07:21:53+00:00,363222611,298.0375,6.0796706,45.1004436,942179.621,6449297.899,1979.73,1980.1271
live,2026-08-07T07:21:53+00:00,363222611,304.2878,6.0796086,45.1004788,942174.596,6449301.615,1979.65,1979.4500
live,2026-08-07T07:21:53+00:00,363222611,307.7430,6.0795659,45.1004861,942171.208,6449302.294,1978.93,1978.6520
live,2026-08-07T07:21:53+00:00,363222611,312.1556,6.0795101,45.1004820,942166.840,6449301.668,1978.16,1977.7980
live,2026-08-07T07:21:53+00:00,363222611,317.6338,6.0794414,45.1004739,942161.475,6449300.558,1976.79,1977.3350
live,2026-08-07T07:21:53+00:00,363222611,323.1120,6.0793727,45.1004658,942156.111,6449299.449,1975.46,1975.9975
live,2026-08-07T07:21:53+00:00,363222611,332.0828,6.0792593,45.1004572,942147.235,6449298.147,1973.58,1973.7967
live,2026-08-07T07:21:53+00:00,363222611,338.5600,6.0791772,45.1004527,942140.802,6449297.395,1972.35,1972.3433
live,2026-08-07T07:21:53+00:00,363222611,345.0371,6.0790951,45.1004482,942134.368,6449296.644,1971.10,1970.9767
