source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T07:21:53+00:00,363222611,0.0000,6.0821290,45.1012411,942369.391,6449393.946,2028.79,2028.4800
live,2026-08-07T07:21:53+00:00,363222611,1.7296,6.0821071,45.1012420,942367.662,6449393.981,2028.75,2028.3489
live,2026-08-07T07:21:53+00:00,363222611,3.4591,6.0820851,45.1012429,942365.933,6449394.017,2028.67,2028.2040
live,2026-08-07T07:21:53+00:00,363222611,5.1887,6.0820631,45.1012439,942364.203,6449394.052,2028.60,2027.9125
live,2026-08-07T07:21:53+00:00,363222611,6.9183,6.0820412,45.1012448,942362.474,6449394.087,2028.52,2027.7654
live,2026-08-07T07:21:53+00:00,363222611,8.5388,6.0820211,45.1012416,942360.908,6449393.670,2028.47,2027.5993
live,2026-08-07T07:21:53+00:00,363222611,9.6686,6.0820095,45.1012356,942360.022,6449392.969,2028.17,2027.4307
live,2026-08-07T07:21:53+00:00,363222611,11.4341,6.0819934,45.1012245,942358.808,6449391.688,2027.87,2027.2419
live,2026-08-07T07:21:53+00:00,363222611,13.1995,6.0819774,45.1012134,942357.593,6449390.407,2027.30,2026.9444
live,2026-08-07T07:21:53+00:00,363222611,14.9650,6.0819613,45.1012023,942356.378,6449389.125,2026.90,2026.6256
live,2026-08-07T07:21:53+00:00,363222611,16.0299,6.0819549,45.1011939,942355.912,6449388.168,2026.63,2026.2881
live,2026-08-07T07:21:53+00:00,363222611,17.0949,6.0819485,45.1011854,942355.446,6449387.211,2026.28,2026.1053
live,2026-08-07T07:21:53+00:00,363222611,18.7707,6.0819417,45.1011711,942354.973,6449385.603,2026.00,2025.6267
live,2026-08-07T07:21:53+00:00,363222611,20.4466,6.0819349,45.1011568,942354.501,6449383.995,2025.44,2025.3150
live,2026-08-07T07:21:53+00:00,363222611,22.0873,6.0819247,45.1011439,942353.757,6449382.532,2025.07,2024.9961
live,2026-08-07T07:21:53+00:00,363222611,23.7281,6.0819146,45.1011310,942353.014,6449381.069,2024.41,2024.8094
live,2026-08-07T07:21:53+00:00,363222611,25.3689,6.0819044,45.1011181,942352.271,6449379.607,2024.03,2024.4953
live,2026-08-07T07:21:53+00:00,363222611,26.8193,6.0818904,45.1011096,942351.208,6449378.620,2023.65,2024.2024
live,2026-08-07T07:21:53+00:00,363222611,27.8236,6.0818790,45.1011056,942350.325,6449378.141,2023.27,2023.9176
live,2026-08-07T07:21:53+00:00,363222611,28.8278,6.0818675,45.1011016,942349.442,6449377.662,2023.18,2023.7481
live,2026-08-07T07:21:53+00:00,363222611,29.8386,6.0818547,45.1011017,942348.432,6449377.628,2023.09,2023.4662
live,2026-08-07T07:21:53+00:00,363222611,30.8493,6.0818418,45.1011017,942347.422,6449377.594,2023.00,2023.3565
live,2026-08-07T07:21:53+00:00,363222611,32.7041,6.0818183,45.1011031,942345.569,6449377.676,2022.91,2023.0876
live,2026-08-07T07:21:53+00:00,363222611,34.5590,6.0817948,45.1011045,942343.716,6449377.757,2022.73,2022.7800
live,2026-08-07T07:21:53+00:00,363222611,36.4138,6.0817713,45.1011058,942341.863,6449377.839,2022.53,2022.4729
live,2026-08-07T07:21:53+00:00,363222611,38.2686,6.0817478,45.1011072,942340.010,6449377.920,2022.32,2022.3353
live,2026-08-07T07:21:53+00:00,363222611,40.1234,6.0817243,45.1011086,942338.157,6449378.001,2022.06,2022.2294
live,2026-08-07T07:21:53+00:00,363222611,41.9782,6.0817008,45.1011100,942336.304,6449378.083,2021.77,2022.0912
live,2026-08-07T07:21:53+00:00,363222611,43.1600,6.0816861,45.1011122,942335.139,6449378.282,2021.60,2022.0244
live,2026-08-07T07:21:53+00:00,363222611,44.3418,6.0816714,45.1011144,942333.974,6449378.481,2021.43,2021.9525
