source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T19:50:49+00:00,36939194,0.0000,6.0408980,45.1307566,939002.514,6452543.842,773.74,775.0400
live,2026-08-07T19:50:49+00:00,36939194,5.4571,6.0408792,45.1308039,939000.835,6452549.035,775.27,775.3925
live,2026-08-07T19:50:49+00:00,36939194,10.2889,6.0409027,45.1308441,939002.509,6452553.567,776.11,775.3925
live,2026-08-07T19:50:49+00:00,36939194,17.1072,6.0409639,45.1308876,939007.131,6452558.580,776.45,775.9125
live,2026-08-07T19:50:49+00:00,36939194,25.7147,6.0410491,45.1309363,939013.612,6452564.244,775.82,775.8900
live,2026-08-07T19:50:49+00:00,36939194,34.3222,6.0411342,45.1309850,939020.094,6452569.908,775.40,775.3667
live,2026-08-07T19:50:49+00:00,36939194,42.9297,6.0412194,45.1310337,939026.575,6452575.572,774.88,774.9233
live,2026-08-07T19:50:49+00:00,36939194,51.5372,6.0413045,45.1310825,939033.056,6452581.236,774.49,774.4633
live,2026-08-07T19:50:49+00:00,36939194,60.1447,6.0413897,45.1311312,939039.538,6452586.900,774.02,774.1367
live,2026-08-07T19:50:49+00:00,36939194,68.7522,6.0414748,45.1311799,939046.019,6452592.564,773.90,773.8033
live,2026-08-07T19:50:49+00:00,36939194,77.3597,6.0415600,45.1312286,939052.500,6452598.228,773.49,773.7433
live,2026-08-07T19:50:49+00:00,36939194,84.8658,6.0416297,45.1312748,939057.781,6452603.563,773.84,773.7333
live,2026-08-07T19:50:49+00:00,36939194,92.3720,6.0416995,45.1313209,939063.062,6452608.897,773.87,773.8533
live,2026-08-07T19:50:49+00:00,36939194,99.8781,6.0417692,45.1313671,939068.342,6452614.232,773.85,774.0400
live,2026-08-07T19:50:49+00:00,36939194,108.8748,6.0418359,45.1314329,939073.296,6452621.742,774.40,774.3067
live,2026-08-07T19:50:49+00:00,36939194,117.8714,6.0419025,45.1314988,939078.250,6452629.251,774.67,774.7267
live,2026-08-07T19:50:49+00:00,36939194,126.8680,6.0419691,45.1315647,939083.204,6452636.761,775.11,775.0367
live,2026-08-07T19:50:49+00:00,36939194,135.8647,6.0420358,45.1316305,939088.159,6452644.271,775.33,775.1967
live,2026-08-07T19:50:49+00:00,36939194,142.6812,6.0420967,45.1316742,939092.758,6452649.302,775.15,775.2400
live,2026-08-07T19:50:49+00:00,36939194,149.4978,6.0421577,45.1317178,939097.358,6452654.332,775.24,775.1600
live,2026-08-07T19:50:49+00:00,36939194,156.3144,6.0422186,45.1317615,939101.958,6452659.363,775.09,775.0033
live,2026-08-07T19:50:49+00:00,36939194,163.8830,6.0422931,45.1318047,939107.626,6452664.379,774.68,774.7500
live,2026-08-07T19:50:49+00:00,36939194,171.4517,6.0423676,45.1318478,939113.294,6452669.395,774.48,774.4067
live,2026-08-07T19:50:49+00:00,36939194,179.0204,6.0424421,45.1318910,939118.961,6452674.411,774.06,774.0675
live,2026-08-07T19:50:49+00:00,36939194,184.2855,6.0424939,45.1319211,939122.902,6452677.903,774.00,773.8825
