source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T07:21:53+00:00,28417004,0.0000,6.0804621,45.0901441,942286.446,6448157.313,1842.41,1842.6562
live,2026-08-07T07:21:53+00:00,28417004,1.6365,6.0804826,45.0901416,942288.068,6448157.098,1842.54,1842.6722
live,2026-08-07T07:21:53+00:00,28417004,3.2730,6.0805031,45.0901391,942289.690,6448156.884,1842.67,1842.6750
live,2026-08-07T07:21:53+00:00,28417004,4.9095,6.0805236,45.0901366,942291.313,6448156.669,1842.73,1842.6809
live,2026-08-07T07:21:53+00:00,28417004,6.5461,6.0805441,45.0901341,942292.935,6448156.455,1842.63,1842.6809
live,2026-08-07T07:21:53+00:00,28417004,8.1826,6.0805646,45.0901316,942294.557,6448156.240,1842.75,1842.6742
live,2026-08-07T07:21:53+00:00,28417004,10.0115,6.0805868,45.0901266,942296.320,6448155.753,1842.81,1842.6562
live,2026-08-07T07:21:53+00:00,28417004,11.8404,6.0806089,45.0901216,942298.083,6448155.266,1842.71,1842.6286
live,2026-08-07T07:21:53+00:00,28417004,13.6694,6.0806311,45.0901166,942299.846,6448154.780,1842.80,1842.6186
live,2026-08-07T07:21:53+00:00,28417004,15.4983,6.0806532,45.0901116,942301.609,6448154.293,1842.70,1842.5871
live,2026-08-07T07:21:53+00:00,28417004,17.3504,6.0806746,45.0901046,942303.318,6448153.579,1842.74,1842.5336
live,2026-08-07T07:21:53+00:00,28417004,19.2024,6.0806959,45.0900975,942305.027,6448152.864,1842.60,1842.4515
live,2026-08-07T07:21:53+00:00,28417004,21.0544,6.0807173,45.0900905,942306.736,6448152.150,1842.44,1842.3631
live,2026-08-07T07:21:53+00:00,28417004,22.9064,6.0807386,45.0900835,942308.444,6448151.436,1842.27,1842.2623
live,2026-08-07T07:21:53+00:00,28417004,24.8703,6.0807607,45.0900752,942310.215,6448150.587,1842.27,1842.1623
live,2026-08-07T07:21:53+00:00,28417004,26.8342,6.0807827,45.0900670,942311.986,6448149.737,1842.10,1842.0523
live,2026-08-07T07:21:53+00:00,28417004,28.7980,6.0808048,45.0900587,942313.756,6448148.887,1841.92,1841.9462
live,2026-08-07T07:21:53+00:00,28417004,30.5366,6.0808238,45.0900507,942315.282,6448148.054,1841.76,1841.8400
live,2026-08-07T07:21:53+00:00,28417004,32.2751,6.0808427,45.0900426,942316.808,6448147.220,1841.60,1841.7454
live,2026-08-07T07:21:53+00:00,28417004,34.0137,6.0808617,45.0900346,942318.334,6448146.387,1841.50,1841.6708
live,2026-08-07T07:21:53+00:00,28417004,35.9732,6.0808826,45.0900250,942320.016,6448145.383,1841.41,1841.6154
live,2026-08-07T07:21:53+00:00,28417004,37.9328,6.0809035,45.0900154,942321.699,6448144.379,1841.37,1841.5900
live,2026-08-07T07:21:53+00:00,28417004,39.8923,6.0809243,45.0900057,942323.382,6448143.375,1841.32,1841.5771
live,2026-08-07T07:21:53+00:00,28417004,41.8519,6.0809452,45.0899961,942325.064,6448142.371,1841.36,1841.6000
live,2026-08-07T07:21:53+00:00,28417004,43.5433,6.0809625,45.0899870,942326.461,6448141.416,1841.37,1841.5877
live,2026-08-07T07:21:53+00:00,28417004,45.2347,6.0809797,45.0899779,942327.857,6448140.461,1841.47,1841.6500
live,2026-08-07T07:21:53+00:00,28417004,46.9261,6.0809970,45.0899689,942329.253,6448139.507,1841.55,1841.7492
live,2026-08-07T07:21:53+00:00,28417004,48.6175,6.0810142,45.0899598,942330.649,6448138.552,1841.72,1841.8708
live,2026-08-07T07:21:53+00:00,28417004,50.3089,6.0810315,45.0899507,942332.045,6448137.597,1841.81,1841.9814
live,2026-08-07T07:21:53+00:00,28417004,52.2979,6.0810488,45.0899376,942333.459,6448136.198,1841.92,1842.1414
live,2026-08-07T07:21:53+00:00,28417004,54.2869,6.0810660,45.0899245,942334.872,6448134.798,1842.24,1842.3171
live,2026-08-07T07:21:53+00:00,28417004,56.2759,6.0810833,45.0899114,942336.285,6448133.398,1842.41,1842.6092
live,2026-08-07T07:21:53+00:00,28417004,58.2649,6.0811005,45.0898983,942337.698,6448131.999,1842.79,1842.8269
live,2026-08-07T07:21:53+00:00,28417004,60.2539,6.0811178,45.0898853,942339.112,6448130.599,1842.99,1843.0500
live,2026-08-07T07:21:53+00:00,28417004,62.2429,6.0811350,45.0898722,942340.525,6448129.200,1843.42,1843.2662
live,2026-08-07T07:21:53+00:00,28417004,64.2319,6.0811523,45.0898591,942341.938,6448127.800,1843.61,1843.4862
live,2026-08-07T07:21:53+00:00,28417004,66.2209,6.0811695,45.0898460,942343.351,6448126.400,1843.78,1843.7031
live,2026-08-07T07:21:53+00:00,28417004,68.2099,6.0811868,45.0898329,942344.764,6448125.001,1844.21,1843.9223
live,2026-08-07T07:21:53+00:00,28417004,70.1698,6.0812005,45.0898181,942345.903,6448123.405,1844.30,1844.1415
live,2026-08-07T07:21:53+00:00,28417004,72.1298,6.0812141,45.0898034,942347.041,6448121.810,1844.45,1844.3377
live,2026-08-07T07:21:53+00:00,28417004,74.0898,6.0812278,45.0897886,942348.180,6448120.214,1844.53,1844.5323
live,2026-08-07T07:21:53+00:00,28417004,76.0498,6.0812415,45.0897739,942349.318,6448118.619,1844.67,1844.7038
live,2026-08-07T07:21:53+00:00,28417004,78.0097,6.0812551,45.0897591,942350.457,6448117.024,1844.74,1844.8692
live,2026-08-07T07:21:53+00:00,28417004,79.9697,6.0812688,45.0897444,942351.596,6448115.428,1845.09,1845.0354
live,2026-08-07T07:21:53+00:00,28417004,81.9297,6.0812825,45.0897296,942352.734,6448113.833,1845.26,1845.1923
live,2026-08-07T07:21:53+00:00,28417004,83.8896,6.0812962,45.0897149,942353.873,6448112.238,1845.34,1845.3546
live,2026-08-07T07:21:53+00:00,28417004,85.8496,6.0813098,45.0897001,942355.011,6448110.642,1845.52,1845.5108
live,2026-08-07T07:21:53+00:00,28417004,87.8096,6.0813235,45.0896854,942356.150,6448109.047,1845.65,1845.6715
live,2026-08-07T07:21:53+00:00,28417004,89.7695,6.0813372,45.0896706,942357.288,6448107.451,1845.76,1845.8408
live,2026-08-07T07:21:53+00:00,28417004,91.7295,6.0813508,45.0896559,942358.427,6448105.856,1845.94,1846.0123
live,2026-08-07T07:21:53+00:00,28417004,93.6895,6.0813645,45.0896411,942359.565,6448104.261,1846.25,1846.1646
live,2026-08-07T07:21:53+00:00,28417004,95.6479,6.0813798,45.0896272,942360.827,6448102.763,1846.41,1846.3262
live,2026-08-07T07:21:53+00:00,28417004,97.6062,6.0813951,45.0896133,942362.088,6448101.265,1846.48,1846.4777
live,2026-08-07T07:21:53+00:00,28417004,99.5646,6.0814103,45.0895993,942363.350,6448099.767,1846.62,1846.6338
live,2026-08-07T07:21:53+00:00,28417004,101.5229,6.0814256,45.0895854,942364.611,6448098.269,1846.87,1846.7831
live,2026-08-07T07:21:53+00:00,28417004,103.4813,6.0814409,45.0895715,942365.873,6448096.771,1846.97,1847.0229
live,2026-08-07T07:21:53+00:00,28417004,105.3219,6.0814589,45.0895609,942367.331,6448095.648,1847.07,1847.1914
live,2026-08-07T07:21:53+00:00,28417004,107.1624,6.0814768,45.0895503,942368.789,6448094.524,1847.36,1847.3371
live,2026-08-07T07:21:53+00:00,28417004,109.0030,6.0814948,45.0895396,942370.246,6448093.401,1847.31,1847.4807
live,2026-08-07T07:21:53+00:00,28417004,110.8436,6.0815127,45.0895290,942371.704,6448092.277,1847.55,1847.6400
live,2026-08-07T07:21:53+00:00,28417004,112.6841,6.0815307,45.0895184,942373.162,6448091.154,1847.59,1847.7857
live,2026-08-07T07:21:53+00:00,28417004,114.3177,6.0815500,45.0895130,942374.703,6448090.611,1847.94,1847.9321
live,2026-08-07T07:21:53+00:00,28417004,115.9513,6.0815693,45.0895076,942376.244,6448090.068,1847.96,1848.0013
live,2026-08-07T07:21:53+00:00,28417004,117.5848,6.0815886,45.0895021,942377.785,6448089.525,1848.30,1848.1427
live,2026-08-07T07:21:53+00:00,28417004,119.2184,6.0816079,45.0894967,942379.325,6448088.982,1848.29,1848.2920
live,2026-08-07T07:21:53+00:00,28417004,120.9367,6.0816284,45.0894914,942380.961,6448088.457,1848.42,1848.4360
live,2026-08-07T07:21:53+00:00,28417004,122.6551,6.0816489,45.0894861,942382.598,6448087.932,1848.71,1848.5753
live,2026-08-07T07:21:53+00:00,28417004,124.3734,6.0816695,45.0894808,942384.234,6448087.407,1848.66,1848.7100
live,2026-08-07T07:21:53+00:00,28417004,126.0918,6.0816900,45.0894755,942385.870,6448086.882,1848.92,1848.8533
live,2026-08-07T07:21:53+00:00,28417004,127.8101,6.0817105,45.0894702,942387.506,6448086.357,1848.97,1848.9780
live,2026-08-07T07:21:53+00:00,28417004,129.5119,6.0817318,45.0894677,942389.194,6448086.141,1849.09,1849.1113
live,2026-08-07T07:21:53+00:00,28417004,131.2137,6.0817532,45.0894651,942390.882,6448085.925,1849.31,1849.2313
live,2026-08-07T07:21:53+00:00,28417004,132.9155,6.0817745,45.0894626,942392.570,6448085.710,1849.52,1849.3753
live,2026-08-07T07:21:53+00:00,28417004,134.6173,6.0817958,45.0894601,942394.258,6448085.494,1849.40,1849.5153
live,2026-08-07T07:21:53+00:00,28417004,136.3191,6.0818172,45.0894575,942395.946,6448085.278,1849.57,1849.6440
live,2026-08-07T07:21:53+00:00,28417004,138.0209,6.0818385,45.0894550,942397.634,6448085.063,1849.74,1849.7827
live,2026-08-07T07:21:53+00:00,28417004,139.7634,6.0818606,45.0894557,942399.371,6448085.205,1849.81,1849.9073
live,2026-08-07T07:21:53+00:00,28417004,141.5059,6.0818828,45.0894563,942401.108,6448085.347,1849.96,1850.0493
live,2026-08-07T07:21:53+00:00,28417004,143.2484,6.0819049,45.0894570,942402.844,6448085.490,1850.10,1850.1913
live,2026-08-07T07:21:53+00:00,28417004,144.9910,6.0819270,45.0894577,942404.581,6448085.632,1850.45,1850.3380
live,2026-08-07T07:21:53+00:00,28417004,146.7335,6.0819491,45.0894584,942406.318,6448085.775,1850.52,1850.4780
live,2026-08-07T07:21:53+00:00,28417004,148.4760,6.0819713,45.0894590,942408.054,6448085.917,1850.64,1850.6327
live,2026-08-07T07:21:53+00:00,28417004,150.2186,6.0819934,45.0894597,942409.791,6448086.060,1850.74,1850.7987
live,2026-08-07T07:21:53+00:00,28417004,151.9220,6.0820146,45.0894627,942411.447,6448086.458,1850.79,1850.9613
live,2026-08-07T07:21:53+00:00,28417004,153.6254,6.0820359,45.0894657,942413.104,6448086.856,1851.10,1851.0436
live,2026-08-07T07:21:53+00:00,28417004,155.3288,6.0820571,45.0894687,942414.760,6448087.254,1851.22,1851.2243
live,2026-08-07T07:21:53+00:00,28417004,157.0322,6.0820783,45.0894717,942416.416,6448087.652,1851.51,1851.3979
live,2026-08-07T07:21:53+00:00,28417004,158.7356,6.0820996,45.0894747,942418.072,6448088.050,1851.62,1851.5436
live,2026-08-07T07:21:53+00:00,28417004,160.4390,6.0821208,45.0894777,942419.729,6448088.448,1851.72,1851.6907
live,2026-08-07T07:21:53+00:00,28417004,162.4077,6.0821452,45.0894815,942421.634,6448088.942,1852.06,1851.8443
live,2026-08-07T07:21:53+00:00,28417004,164.3765,6.0821697,45.0894853,942423.540,6448089.436,1852.18,1852.0029
live,2026-08-07T07:21:53+00:00,28417004,166.3452,6.0821942,45.0894890,942425.446,6448089.930,1852.49,1852.2592
live,2026-08-07T07:21:53+00:00,28417004,168.3139,6.0822186,45.0894928,942427.351,6448090.424,1852.53,1852.4246
live,2026-08-07T07:21:53+00:00,28417004,170.2881,6.0822423,45.0894985,942429.194,6448091.134,1852.49,1852.5662
live,2026-08-07T07:21:53+00:00,28417004,172.2624,6.0822661,45.0895043,942431.036,6448091.844,1852.58,1852.7115
live,2026-08-07T07:21:53+00:00,28417004,174.2366,6.0822899,45.0895100,942432.878,6448092.554,1852.79,1852.8638
live,2026-08-07T07:21:53+00:00,28417004,176.2108,6.0823136,45.0895158,942434.720,6448093.264,1852.96,1853.0046
live,2026-08-07T07:21:53+00:00,28417004,178.1850,6.0823373,45.0895215,942436.562,6448093.974,1853.22,1853.1362
live,2026-08-07T07:21:53+00:00,28417004,180.1593,6.0823611,45.0895272,942438.405,6448094.684,1853.37,1853.2577
live,2026-08-07T07:21:53+00:00,28417004,182.1335,6.0823849,45.0895330,942440.247,6448095.393,1853.35,1853.3900
live,2026-08-07T07:21:53+00:00,28417004,184.1077,6.0824086,45.0895387,942442.089,6448096.103,1853.51,1853.5246
live,2026-08-07T07:21:53+00:00,28417004,186.0819,6.0824324,45.0895445,942443.931,6448096.813,1853.70,1853.6662
live,2026-08-07T07:21:53+00:00,28417004,188.0562,6.0824561,45.0895502,942445.773,6448097.523,1853.89,1853.8038
live,2026-08-07T07:21:53+00:00,28417004,190.0304,6.0824799,45.0895559,942447.616,6448098.233,1853.89,1853.9262
live,2026-08-07T07:21:53+00:00,28417004,192.0046,6.0825036,45.0895617,942449.458,6448098.943,1854.07,1854.0346
live,2026-08-07T07:21:53+00:00,28417004,193.9788,6.0825273,45.0895674,942451.300,6448099.653,1854.25,1854.1385
live,2026-08-07T07:21:53+00:00,28417004,195.9531,6.0825511,45.0895731,942453.142,6448100.362,1854.24,1854.2454
live,2026-08-07T07:21:53+00:00,28417004,197.9273,6.0825749,45.0895789,942454.984,6448101.072,1854.42,1854.3331
live,2026-08-07T07:21:53+00:00,28417004,199.9015,6.0825986,45.0895846,942456.827,6448101.782,1854.58,1854.4123
live,2026-08-07T07:21:53+00:00,28417004,201.8757,6.0826223,45.0895904,942458.669,6448102.492,1854.55,1854.4846
live,2026-08-07T07:21:53+00:00,28417004,203.8500,6.0826461,45.0895961,942460.511,6448103.202,1854.63,1854.5531
