source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T19:50:49+00:00,28437433,0.0000,6.0590081,45.0830084,940630.573,6447299.800,1528.16,1527.5657
live,2026-08-07T19:50:49+00:00,28437433,1.9741,6.0589830,45.0830093,940628.599,6447299.820,1527.97,1527.4613
live,2026-08-07T19:50:49+00:00,28437433,3.9482,6.0589580,45.0830101,940626.625,6447299.839,1527.78,1527.3767
live,2026-08-07T19:50:49+00:00,28437433,5.9223,6.0589329,45.0830110,940624.651,6447299.858,1527.58,1527.2860
live,2026-08-07T19:50:49+00:00,28437433,7.8964,6.0589079,45.0830118,940622.677,6447299.877,1527.37,1527.2073
live,2026-08-07T19:50:49+00:00,28437433,9.8705,6.0588828,45.0830127,940620.703,6447299.896,1527.16,1527.1217
live,2026-08-07T19:50:49+00:00,28437433,11.8655,6.0588578,45.0830159,940618.728,6447300.175,1526.94,1527.0438
live,2026-08-07T19:50:49+00:00,28437433,13.8606,6.0588329,45.0830191,940616.752,6447300.454,1526.73,1526.8662
live,2026-08-07T19:50:49+00:00,28437433,15.8496,6.0588084,45.0830236,940614.810,6447300.883,1526.70,1526.6831
live,2026-08-07T19:50:49+00:00,28437433,17.8386,6.0587840,45.0830282,940612.868,6447301.311,1526.47,1526.5069
live,2026-08-07T19:50:49+00:00,28437433,19.8276,6.0587595,45.0830327,940610.926,6447301.740,1526.42,1526.3254
live,2026-08-07T19:50:49+00:00,28437433,21.8166,6.0587351,45.0830372,940608.983,6447302.168,1526.18,1526.1508
live,2026-08-07T19:50:49+00:00,28437433,23.8056,6.0587106,45.0830418,940607.041,6447302.597,1526.11,1525.9938
live,2026-08-07T19:50:49+00:00,28437433,25.7946,6.0586862,45.0830463,940605.099,6447303.026,1525.85,1525.8315
live,2026-08-07T19:50:49+00:00,28437433,27.7836,6.0586617,45.0830508,940603.156,6447303.454,1525.59,1525.6746
live,2026-08-07T19:50:49+00:00,28437433,29.7726,6.0586373,45.0830554,940601.214,6447303.883,1525.49,1525.5077
