source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T19:50:49+00:00,49210503,0.0000,6.0292652,45.0650281,938368.653,6445214.131,721.05,723.1400
live,2026-08-07T19:50:49+00:00,49210503,1.8705,6.0292889,45.0650271,938370.523,6445214.095,722.30,723.2287
live,2026-08-07T19:50:49+00:00,49210503,3.7410,6.0293126,45.0650262,938372.394,6445214.058,722.97,723.2978
live,2026-08-07T19:50:49+00:00,49210503,5.6114,6.0293364,45.0650252,938374.264,6445214.022,723.92,723.3540
live,2026-08-07T19:50:49+00:00,49210503,7.4819,6.0293601,45.0650242,938376.134,6445213.985,723.96,723.3982
live,2026-08-07T19:50:49+00:00,49210503,9.3524,6.0293838,45.0650232,938378.004,6445213.948,723.90,723.4350
live,2026-08-07T19:50:49+00:00,49210503,11.2229,6.0294076,45.0650222,938379.874,6445213.912,723.88,723.4608
live,2026-08-07T19:50:49+00:00,49210503,13.0934,6.0294313,45.0650213,938381.744,6445213.875,723.85,723.6729
live,2026-08-07T19:50:49+00:00,49210503,14.9639,6.0294550,45.0650203,938383.614,6445213.839,723.85,723.7736
live,2026-08-07T19:50:49+00:00,49210503,16.7352,6.0294774,45.0650189,938385.383,6445213.745,723.86,723.8264
live,2026-08-07T19:50:49+00:00,49210503,18.5066,6.0294998,45.0650174,938387.152,6445213.652,723.84,723.8192
live,2026-08-07T19:50:49+00:00,49210503,20.2780,6.0295222,45.0650160,938388.921,6445213.559,723.84,723.3485
live,2026-08-07T19:50:49+00:00,49210503,22.0494,6.0295447,45.0650145,938390.690,6445213.466,723.77,722.8569
live,2026-08-07T19:50:49+00:00,49210503,23.8207,6.0295671,45.0650130,938392.459,6445213.372,723.75,722.5231
live,2026-08-07T19:50:49+00:00,49210503,25.5921,6.0295895,45.0650116,938394.228,6445213.279,723.73,722.5771
live,2026-08-07T19:50:49+00:00,49210503,27.3635,6.0296119,45.0650101,938395.997,6445213.186,723.71,722.5586
live,2026-08-07T19:50:49+00:00,49210503,29.1349,6.0296343,45.0650087,938397.766,6445213.093,723.71,722.5364
live,2026-08-07T19:50:49+00:00,49210503,31.0821,6.0296587,45.0650056,938399.695,6445212.826,717.84,722.4092
live,2026-08-07T19:50:49+00:00,49210503,33.0293,6.0296830,45.0650026,938401.624,6445212.560,717.51,722.3831
live,2026-08-07T19:50:49+00:00,49210503,34.9765,6.0297074,45.0649995,938403.553,6445212.294,719.54,722.3608
live,2026-08-07T19:50:49+00:00,49210503,36.9237,6.0297317,45.0649965,938405.482,6445212.028,723.28,722.3385
live,2026-08-07T19:50:49+00:00,49210503,38.8709,6.0297561,45.0649934,938407.410,6445211.762,723.59,722.3138
live,2026-08-07T19:50:49+00:00,49210503,40.8182,6.0297805,45.0649903,938409.339,6445211.496,723.54,722.2900
live,2026-08-07T19:50:49+00:00,49210503,42.7654,6.0298048,45.0649873,938411.268,6445211.230,723.51,722.2615
live,2026-08-07T19:50:49+00:00,49210503,44.7126,6.0298292,45.0649842,938413.197,6445210.964,723.50,722.6831
live,2026-08-07T19:50:49+00:00,49210503,46.6598,6.0298535,45.0649812,938415.126,6445210.698,723.48,723.1269
live,2026-08-07T19:50:49+00:00,49210503,48.6070,6.0298779,45.0649781,938417.055,6445210.432,723.46,723.4131
live,2026-08-07T19:50:49+00:00,49210503,50.5445,6.0299016,45.0649735,938418.942,6445209.993,723.41,723.4069
live,2026-08-07T19:50:49+00:00,49210503,52.4819,6.0299254,45.0649689,938420.829,6445209.554,723.40,723.3738
live,2026-08-07T19:50:49+00:00,49210503,54.4194,6.0299491,45.0649643,938422.717,6445209.116,723.34,723.3408
live,2026-08-07T19:50:49+00:00,49210503,56.3568,6.0299729,45.0649597,938424.604,6445208.677,723.32,723.3077
live,2026-08-07T19:50:49+00:00,49210503,58.2943,6.0299966,45.0649551,938426.491,6445208.238,723.28,723.2715
live,2026-08-07T19:50:49+00:00,49210503,60.2317,6.0300204,45.0649505,938428.378,6445207.799,723.26,723.2362
live,2026-08-07T19:50:49+00:00,49210503,62.1692,6.0300441,45.0649459,938430.265,6445207.360,723.20,723.1985
live,2026-08-07T19:50:49+00:00,49210503,64.1066,6.0300679,45.0649413,938432.152,6445206.921,723.16,723.1638
live,2026-08-07T19:50:49+00:00,49210503,66.0441,6.0300916,45.0649367,938434.039,6445206.483,723.11,723.1254
live,2026-08-07T19:50:49+00:00,49210503,67.9403,6.0301144,45.0649313,938435.858,6445205.948,723.08,723.0908
live,2026-08-07T19:50:49+00:00,49210503,69.8365,6.0301373,45.0649258,938437.678,6445205.414,723.03,723.0531
live,2026-08-07T19:50:49+00:00,49210503,71.7327,6.0301601,45.0649204,938439.497,6445204.879,723.02,723.0185
live,2026-08-07T19:50:49+00:00,49210503,73.6290,6.0301830,45.0649150,938441.317,6445204.345,722.97,722.9800
live,2026-08-07T19:50:49+00:00,49210503,75.5252,6.0302058,45.0649095,938443.136,6445203.810,722.96,722.9415
live,2026-08-07T19:50:49+00:00,49210503,77.4214,6.0302286,45.0649041,938444.955,6445203.276,722.90,722.9069
live,2026-08-07T19:50:49+00:00,49210503,79.3177,6.0302515,45.0648986,938446.775,6445202.741,722.89,722.8715
live,2026-08-07T19:50:49+00:00,49210503,81.2139,6.0302743,45.0648932,938448.594,6445202.207,722.83,722.8331
live,2026-08-07T19:50:49+00:00,49210503,83.0420,6.0302958,45.0648869,938450.308,6445201.572,722.83,722.7954
live,2026-08-07T19:50:49+00:00,49210503,84.8700,6.0303172,45.0648806,938452.023,6445200.938,722.76,722.7562
live,2026-08-07T19:50:49+00:00,49210503,86.6981,6.0303387,45.0648743,938453.737,6445200.303,722.70,722.7169
live,2026-08-07T19:50:49+00:00,49210503,88.5261,6.0303601,45.0648680,938455.452,6445199.669,722.71,722.6738
live,2026-08-07T19:50:49+00:00,49210503,90.3542,6.0303816,45.0648617,938457.166,6445199.035,722.65,722.6354
live,2026-08-07T19:50:49+00:00,49210503,92.1822,6.0304030,45.0648554,938458.881,6445198.400,722.58,722.5900
live,2026-08-07T19:50:49+00:00,49210503,94.0103,6.0304245,45.0648491,938460.595,6445197.766,722.54,722.5462
live,2026-08-07T19:50:49+00:00,49210503,95.8373,6.0304453,45.0648419,938462.266,6445197.027,722.51,722.5000
live,2026-08-07T19:50:49+00:00,49210503,97.6643,6.0304662,45.0648346,938463.936,6445196.287,722.46,722.4531
live,2026-08-07T19:50:49+00:00,49210503,99.4913,6.0304870,45.0648274,938465.607,6445195.548,722.40,722.4077
live,2026-08-07T19:50:49+00:00,49210503,101.3183,6.0305079,45.0648202,938467.278,6445194.808,722.40,722.3569
live,2026-08-07T19:50:49+00:00,49210503,103.1452,6.0305288,45.0648130,938468.948,6445194.069,722.30,722.3100
live,2026-08-07T19:50:49+00:00,49210503,104.9722,6.0305496,45.0648057,938470.619,6445193.329,722.26,722.2623
live,2026-08-07T19:50:49+00:00,49210503,106.7992,6.0305704,45.0647985,938472.290,6445192.590,722.23,722.2162
live,2026-08-07T19:50:49+00:00,49210503,108.6262,6.0305913,45.0647913,938473.960,6445191.851,722.15,722.1654
live,2026-08-07T19:50:49+00:00,49210503,110.4532,6.0306121,45.0647840,938475.631,6445191.111,722.11,722.1138
live,2026-08-07T19:50:49+00:00,49210503,112.2802,6.0306330,45.0647768,938477.302,6445190.372,722.05,722.0638
live,2026-08-07T19:50:49+00:00,49210503,114.0786,6.0306528,45.0647687,938478.891,6445189.530,722.04,722.0069
live,2026-08-07T19:50:49+00:00,49210503,115.8770,6.0306725,45.0647606,938480.480,6445188.688,721.96,721.9577
live,2026-08-07T19:50:49+00:00,49210503,117.6754,6.0306923,45.0647524,938482.070,6445187.847,721.94,721.9100
live,2026-08-07T19:50:49+00:00,49210503,119.4738,6.0307121,45.0647443,938483.659,6445187.005,721.85,721.8592
live,2026-08-07T19:50:49+00:00,49210503,121.2722,6.0307318,45.0647362,938485.248,6445186.163,721.79,721.8077
live,2026-08-07T19:50:49+00:00,49210503,123.0706,6.0307516,45.0647281,938486.837,6445185.321,721.75,721.7569
