source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T19:50:49+00:00,36939194,0.0000,6.0408980,45.1307566,939002.514,6452543.842,773.74,774.8775
live,2026-08-07T19:50:49+00:00,36939194,2.7286,6.0408886,45.1307803,939001.675,6452546.438,774.39,775.1440
live,2026-08-07T19:50:49+00:00,36939194,5.4571,6.0408792,45.1308039,939000.835,6452549.035,775.27,775.3617
live,2026-08-07T19:50:49+00:00,36939194,10.2889,6.0409027,45.1308441,939002.509,6452553.567,776.11,775.4771
live,2026-08-07T19:50:49+00:00,36939194,13.6981,6.0409333,45.1308658,939004.820,6452556.073,776.21,775.7667
live,2026-08-07T19:50:49+00:00,36939194,17.1072,6.0409639,45.1308876,939007.131,6452558.580,776.45,776.0383
live,2026-08-07T19:50:49+00:00,36939194,21.7420,6.0410098,45.1309138,939010.621,6452561.630,776.17,776.0817
live,2026-08-07T19:50:49+00:00,36939194,26.3768,6.0410556,45.1309401,939014.111,6452564.680,776.02,775.9020
live,2026-08-07T19:50:49+00:00,36939194,31.0116,6.0411015,45.1309663,939017.601,6452567.729,775.53,775.5980
live,2026-08-07T19:50:49+00:00,36939194,35.6464,6.0411473,45.1309925,939021.091,6452570.779,775.34,775.3340
live,2026-08-07T19:50:49+00:00,36939194,40.2812,6.0411932,45.1310188,939024.581,6452573.829,774.93,775.0340
live,2026-08-07T19:50:49+00:00,36939194,44.9160,6.0412390,45.1310450,939028.071,6452576.879,774.85,774.8160
live,2026-08-07T19:50:49+00:00,36939194,49.5508,6.0412849,45.1310712,939031.561,6452579.929,774.52,774.5580
live,2026-08-07T19:50:49+00:00,36939194,54.1856,6.0413307,45.1310974,939035.051,6452582.979,774.44,774.3640
live,2026-08-07T19:50:49+00:00,36939194,58.8204,6.0413766,45.1311237,939038.541,6452586.029,774.05,774.1220
live,2026-08-07T19:50:49+00:00,36939194,63.4552,6.0414224,45.1311499,939042.031,6452589.078,773.96,773.9500
live,2026-08-07T19:50:49+00:00,36939194,68.0900,6.0414683,45.1311761,939045.521,6452592.128,773.64,773.7600
live,2026-08-07T19:50:49+00:00,36939194,72.7249,6.0415141,45.1312024,939049.011,6452595.178,773.66,773.6620
live,2026-08-07T19:50:49+00:00,36939194,77.3597,6.0415600,45.1312286,939052.500,6452598.228,773.49,773.6400
live,2026-08-07T19:50:49+00:00,36939194,81.8634,6.0416018,45.1312563,939055.669,6452601.429,773.56,773.6860
live,2026-08-07T19:50:49+00:00,36939194,86.3671,6.0416437,45.1312840,939058.837,6452604.630,773.85,773.7280
live,2026-08-07T19:50:49+00:00,36939194,90.8708,6.0416855,45.1313117,939062.005,6452607.830,773.87,773.8000
live,2026-08-07T19:50:49+00:00,36939194,95.3744,6.0417274,45.1313394,939065.174,6452611.031,773.87,773.8920
live,2026-08-07T19:50:49+00:00,36939194,99.8781,6.0417692,45.1313671,939068.342,6452614.232,773.85,774.0020
live,2026-08-07T19:50:49+00:00,36939194,104.3765,6.0418025,45.1314000,939070.819,6452617.987,774.02,774.0900
live,2026-08-07T19:50:49+00:00,36939194,108.8748,6.0418359,45.1314329,939073.296,6452621.742,774.40,774.2500
live,2026-08-07T19:50:49+00:00,36939194,113.3731,6.0418692,45.1314659,939075.773,6452625.497,774.31,774.4340
live,2026-08-07T19:50:49+00:00,36939194,117.8714,6.0419025,45.1314988,939078.250,6452629.251,774.67,774.6520
live,2026-08-07T19:50:49+00:00,36939194,122.3697,6.0419358,45.1315317,939080.727,6452633.006,774.77,774.8100
live,2026-08-07T19:50:49+00:00,36939194,126.8680,6.0419691,45.1315647,939083.204,6452636.761,775.11,775.0140
live,2026-08-07T19:50:49+00:00,36939194,131.3664,6.0420025,45.1315976,939085.681,6452640.516,775.19,775.1240
live,2026-08-07T19:50:49+00:00,36939194,135.8647,6.0420358,45.1316305,939088.159,6452644.271,775.33,775.2067
live,2026-08-07T19:50:49+00:00,36939194,139.9546,6.0420724,45.1316567,939090.918,6452647.289,775.22,775.2183
live,2026-08-07T19:50:49+00:00,36939194,144.0445,6.0421089,45.1316829,939093.678,6452650.308,775.12,775.2017
live,2026-08-07T19:50:49+00:00,36939194,148.1345,6.0421455,45.1317091,939096.438,6452653.326,775.27,775.2017
