source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T19:50:49+00:00,49210503,0.0000,6.0292652,45.0650281,938368.653,6445214.131,721.05,722.9633
live,2026-08-07T19:50:49+00:00,49210503,4.9880,6.0293285,45.0650255,938373.640,6445214.034,723.92,723.1850
live,2026-08-07T19:50:49+00:00,49210503,9.9759,6.0293917,45.0650229,938378.627,6445213.936,723.92,723.3140
live,2026-08-07T19:50:49+00:00,49210503,14.9639,6.0294550,45.0650203,938383.614,6445213.839,723.85,723.8540
live,2026-08-07T19:50:49+00:00,49210503,19.6875,6.0295148,45.0650164,938388.331,6445213.590,723.83,723.8120
live,2026-08-07T19:50:49+00:00,49210503,24.4112,6.0295745,45.0650126,938393.049,6445213.341,723.75,722.5320
live,2026-08-07T19:50:49+00:00,49210503,29.1349,6.0296343,45.0650087,938397.766,6445213.093,723.71,722.4800
live,2026-08-07T19:50:49+00:00,49210503,34.0029,6.0296952,45.0650010,938402.588,6445212.427,717.52,722.4180
live,2026-08-07T19:50:49+00:00,49210503,38.8709,6.0297561,45.0649934,938407.410,6445211.762,723.59,722.3600
live,2026-08-07T19:50:49+00:00,49210503,43.7390,6.0298170,45.0649857,938412.233,6445211.097,723.52,722.2900
live,2026-08-07T19:50:49+00:00,49210503,48.6070,6.0298779,45.0649781,938417.055,6445210.432,723.46,723.4420
live,2026-08-07T19:50:49+00:00,49210503,52.9663,6.0299313,45.0649677,938421.301,6445209.445,723.36,723.3640
live,2026-08-07T19:50:49+00:00,49210503,57.3255,6.0299848,45.0649574,938425.547,6445208.457,723.28,723.2820
live,2026-08-07T19:50:49+00:00,49210503,61.6848,6.0300382,45.0649471,938429.793,6445207.470,723.20,723.1583
live,2026-08-07T19:50:49+00:00,49210503,66.0441,6.0300916,45.0649367,938434.039,6445206.483,723.11,723.0817
live,2026-08-07T19:50:49+00:00,49210503,69.8365,6.0301373,45.0649258,938437.678,6445205.414,723.03,723.0067
live,2026-08-07T19:50:49+00:00,49210503,73.6290,6.0301830,45.0649150,938441.317,6445204.345,722.97,722.9671
live,2026-08-07T19:50:49+00:00,49210503,77.4214,6.0302286,45.0649041,938444.955,6445203.276,722.90,722.8886
live,2026-08-07T19:50:49+00:00,49210503,81.2139,6.0302743,45.0648932,938448.594,6445202.207,722.83,722.8517
live,2026-08-07T19:50:49+00:00,49210503,85.4794,6.0303244,45.0648785,938452.594,6445200.726,722.73,722.7700
live,2026-08-07T19:50:49+00:00,49210503,89.7448,6.0303744,45.0648638,938456.595,6445199.246,722.65,722.6767
live,2026-08-07T19:50:49+00:00,49210503,94.0103,6.0304245,45.0648491,938460.595,6445197.766,722.54,722.5260
live,2026-08-07T19:50:49+00:00,49210503,98.5778,6.0304766,45.0648310,938464.772,6445195.917,722.41,722.4200
live,2026-08-07T19:50:49+00:00,49210503,103.1452,6.0305288,45.0648130,938468.948,6445194.069,722.30,722.3000
live,2026-08-07T19:50:49+00:00,49210503,107.7127,6.0305809,45.0647949,938473.125,6445192.220,722.20,722.1840
live,2026-08-07T19:50:49+00:00,49210503,112.2802,6.0306330,45.0647768,938477.302,6445190.372,722.05,722.0117
live,2026-08-07T19:50:49+00:00,49210503,116.3266,6.0306775,45.0647585,938480.878,6445188.478,721.96,721.9017
live,2026-08-07T19:50:49+00:00,49210503,120.3730,6.0307220,45.0647402,938484.453,6445186.584,721.85,721.7817
live,2026-08-07T19:50:49+00:00,49210503,124.4194,6.0307664,45.0647220,938488.029,6445184.690,721.71,721.7129
live,2026-08-07T19:50:49+00:00,49210503,128.4658,6.0308109,45.0647037,938491.605,6445182.796,721.64,721.6567
live,2026-08-07T19:50:49+00:00,49210503,132.6365,6.0308549,45.0646828,938495.155,6445180.607,721.48,721.5217
live,2026-08-07T19:50:49+00:00,49210503,136.8072,6.0308989,45.0646619,938498.705,6445178.417,721.30,721.3917
live,2026-08-07T19:50:49+00:00,49210503,140.9778,6.0309429,45.0646409,938502.255,6445176.228,721.15,721.1720
live,2026-08-07T19:50:49+00:00,49210503,145.1485,6.0309869,45.0646200,938505.804,6445174.039,721.07,721.0180
live,2026-08-07T19:50:49+00:00,49210503,149.7966,6.0310329,45.0645937,938509.531,6445171.261,720.86,720.8780
live,2026-08-07T19:50:49+00:00,49210503,154.4447,6.0310788,45.0645674,938513.258,6445168.483,720.71,720.7300
live,2026-08-07T19:50:49+00:00,49210503,159.0928,6.0311248,45.0645412,938516.985,6445165.705,720.60,720.5700
live,2026-08-07T19:50:49+00:00,49210503,163.7409,6.0311707,45.0645149,938520.712,6445162.928,720.41,720.4160
live,2026-08-07T19:50:49+00:00,49210503,168.3891,6.0312167,45.0644886,938524.438,6445160.150,720.27,720.2580
live,2026-08-07T19:50:49+00:00,49210503,173.0759,6.0312598,45.0644595,938527.954,6445157.051,720.09,720.0960
live,2026-08-07T19:50:49+00:00,49210503,177.7628,6.0313029,45.0644304,938531.470,6445153.951,719.92,719.9420
live,2026-08-07T19:50:49+00:00,49210503,182.4497,6.0313461,45.0644013,938534.986,6445150.852,719.79,719.7800
live,2026-08-07T19:50:49+00:00,49210503,187.1365,6.0313892,45.0643722,938538.502,6445147.753,719.64,719.6280
live,2026-08-07T19:50:49+00:00,49210503,192.0454,6.0314305,45.0643391,938541.887,6445144.198,719.46,719.4740
live,2026-08-07T19:50:49+00:00,49210503,196.9542,6.0314717,45.0643059,938545.273,6445140.644,719.33,719.3120
live,2026-08-07T19:50:49+00:00,49210503,201.8630,6.0315129,45.0642728,938548.659,6445137.090,719.15,719.1520
live,2026-08-07T19:50:49+00:00,49210503,206.7718,6.0315542,45.0642396,938552.044,6445133.535,718.98,719.0020
live,2026-08-07T19:50:49+00:00,49210503,211.1973,6.0315887,45.0642081,938554.894,6445130.149,718.84,718.8500
live,2026-08-07T19:50:49+00:00,49210503,215.6228,6.0316232,45.0641767,938557.743,6445126.763,718.71,718.7120
live,2026-08-07T19:50:49+00:00,49210503,220.0483,6.0316578,45.0641453,938560.593,6445123.377,718.57,718.5840
live,2026-08-07T19:50:49+00:00,49210503,224.4738,6.0316923,45.0641138,938563.442,6445119.991,718.46,718.4680
live,2026-08-07T19:50:49+00:00,49210503,228.9168,6.0317228,45.0640801,938565.982,6445116.345,718.34,718.3580
live,2026-08-07T19:50:49+00:00,49210503,233.3598,6.0317532,45.0640464,938568.521,6445112.699,718.26,718.2600
live,2026-08-07T19:50:49+00:00,49210503,237.8027,6.0317837,45.0640128,938571.060,6445109.054,718.16,718.1700
live,2026-08-07T19:50:49+00:00,49210503,242.2457,6.0318141,45.0639791,938573.600,6445105.408,718.08,718.0940
live,2026-08-07T19:50:49+00:00,49210503,246.6887,6.0318446,45.0639454,938576.139,6445101.762,718.01,718.0220
live,2026-08-07T19:50:49+00:00,49210503,251.4833,6.0318735,45.0639074,938578.575,6445097.632,717.96,717.9580
live,2026-08-07T19:50:49+00:00,49210503,256.2779,6.0319024,45.0638694,938581.010,6445093.502,717.90,717.9100
live,2026-08-07T19:50:49+00:00,49210503,261.0726,6.0319313,45.0638314,938583.446,6445089.372,717.84,717.8620
live,2026-08-07T19:50:49+00:00,49210503,265.8672,6.0319602,45.0637934,938585.881,6445085.242,717.84,717.8260
live,2026-08-07T19:50:49+00:00,49210503,270.6618,6.0319891,45.0637554,938588.317,6445081.112,717.77,717.8020
live,2026-08-07T19:50:49+00:00,49210503,275.4564,6.0320180,45.0637174,938590.752,6445076.982,717.78,717.7900
live,2026-08-07T19:50:49+00:00,49210503,280.2511,6.0320469,45.0636794,938593.188,6445072.852,717.78,717.7860
live,2026-08-07T19:50:49+00:00,49210503,285.0457,6.0320759,45.0636414,938595.624,6445068.722,717.78,717.7900
live,2026-08-07T19:50:49+00:00,49210503,289.8403,6.0321048,45.0636034,938598.059,6445064.592,717.82,717.8020
live,2026-08-07T19:50:49+00:00,49210503,294.6349,6.0321337,45.0635654,938600.495,6445060.463,717.79,717.8140
live,2026-08-07T19:50:49+00:00,49210503,299.4296,6.0321626,45.0635274,938602.930,6445056.333,717.84,717.8380
live,2026-08-07T19:50:49+00:00,49210503,304.2242,6.0321915,45.0634894,938605.366,6445052.203,717.84,717.8560
live,2026-08-07T19:50:49+00:00,49210503,309.0188,6.0322204,45.0634514,938607.801,6445048.073,717.90,717.8820
live,2026-08-07T19:50:49+00:00,49210503,313.8134,6.0322493,45.0634134,938610.237,6445043.943,717.91,717.8925
live,2026-08-07T19:50:49+00:00,49210503,318.6081,6.0322782,45.0633754,938612.673,6445039.813,717.92,717.9100
